Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
946 kg (118.25 kg),27 ans,26 ans,198 cm,England : 67% (10/15) South Africa : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) Argentina : 7% (1/15),England : 57% (13/23) Australia : 9% (2/23) South Africa : 9% (2/23) Fiji : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Congo : 4% (1/23) Scotland : 4% (1/23) Ireland : 4% (1/23),Exeter,938 kg (117.25 kg),29 ans,24 ans,202 cm,England : 67% (10/15) Fiji : 13% (2/15) New Zealand : 13% (2/15) South Africa : 7% (1/15),England : 70% (16/23) Fiji : 13% (3/23) South Africa : 9% (2/23) New Zealand : 9% (2/23),Northampton," Date :  Saturday, September 25, 2021 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,4_38_6,2,12_20,1,57,4,32_64_70_79,3,5_7_40,2,13_21,24 - 26
940 kg (117.50 kg),29 ans,27 ans,207 cm,England : 40% (6/15) Australia : 13% (2/15) New Zealand : 13% (2/15) Argentina : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15) Scotland : 7% (1/15),England : 26% (6/23) South Africa : 17% (4/23) Australia : 13% (3/23) Ireland : 13% (3/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23) Scotland : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23),London Irish,913 kg (114.13 kg),26 ans,27 ans,208 cm,England : 47% (7/15) South Africa : 27% (4/15) Scotland : 13% (2/15) Ireland : 7% (1/15) Samoa : 7% (1/15),England : 48% (11/23) South Africa : 22% (5/23) Scotland : 13% (3/23) Ireland : 4% (1/23) Samoa : 4% (1/23) Canada : 4% (1/23) New Zealand : 4% (1/23),Sale," Date :  Sunday, September 26, 2021 Kick Off : 16:00 Venue : Brentford Community Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,32_16_76_46_66,4,36_1_14_20,0,,1,29,3,17_33_77,4,2_14_22_37,31 - 31
930 kg (116.25 kg),27 ans,26 ans,201 cm,England : 60% (9/15) New Zealand : 20% (3/15) Wales : 13% (2/15) Samoa : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) Wales : 13% (3/23) Samoa : 9% (2/23) Scotland : 4% (1/23) France : 4% (1/23),Bristol,926 kg (115.75 kg),26 ans,25 ans,201 cm,England : 87% (13/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 83% (19/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Scotland : 4% (1/23) Zimbabwe : 4% (1/23),Bath," Date :  Friday, October 1, 2021 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,30_66,3,16_51_41,2,7_46,1,28,1,67,1,18,25 - 20
934 kg (116.75 kg),28 ans,27 ans,207 cm,England : 67% (10/15) Fiji : 13% (2/15) South Africa : 7% (1/15) Wales : 7% (1/15) New Zealand : 7% (1/15),England : 65% (15/23) Fiji : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Wales : 4% (1/23) Samoa : 4% (1/23),Northampton,939 kg (117.38 kg),28 ans,27 ans,207 cm,England : 40% (6/15) Australia : 27% (4/15) Argentina : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 39% (9/23) Australia : 17% (4/23) South Africa : 13% (3/23) Ireland : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23),London Irish," Date :  Saturday, October 2, 2021 Kick Off : 15:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,8_15,2,37_63,3,2_58_74,0,,2,9_16,2,37_64,23 - 21
906 kg (113.25 kg),29 ans,27 ans,207 cm,England : 60% (9/15) Wales : 20% (3/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),England : 57% (13/23) Wales : 17% (4/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) Ireland : 4% (1/23) Tonga : 4% (1/23),Worcester,917 kg (114.63 kg),28 ans,26 ans,201 cm,England : 60% (9/15) Scotland : 13% (2/15) Russia : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15),England : 65% (15/23) Scotland : 9% (2/23) Russia : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23) Georgia : 4% (1/23) Wales : 4% (1/23),Gloucester," Date :  Saturday, October 2, 2021 Kick Off : 16:00 Venue : Sixways Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,71_81,2,58_65,3,30_41_51,4,8_17_31_41,2,72_82,2,59_66,23 - 31
939 kg (117.38 kg),29 ans,26 ans,198 cm,England : 73% (11/15) South Africa : 13% (2/15) Ireland : 7% (1/15) Italy : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Italy : 4% (1/23) Scotland : 4% (1/23),Newcastle,926 kg (115.75 kg),28 ans,26 ans,198 cm,England : 67% (10/15) New Zealand : 20% (3/15) Scotland : 7% (1/15) Tonga : 7% (1/15),England : 78% (18/23) New Zealand : 13% (3/23) Scotland : 4% (1/23) Tonga : 4% (1/23),Wasps," Date :  Saturday, October 2, 2021 Kick Off : 16:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,79_3,2,50_74,2,20_64,0,,1,80,2,51_74,18 - 14
918 kg (114.75 kg),26 ans,27 ans,200 cm,England : 53% (8/15) South Africa : 20% (3/15) Australia : 7% (1/15) Wales : 7% (1/15) Tonga : 7% (1/15) Ireland : 7% (1/15),England : 57% (13/23) South Africa : 13% (3/23) Australia : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23) Ireland : 4% (1/23) Samoa : 4% (1/23) Scotland : 4% (1/23) Argentina : 4% (1/23),Leicester,932 kg (116.50 kg),27 ans,27 ans,201 cm,England : 73% (11/15) Italy : 7% (1/15) Scotland : 7% (1/15) Australia : 7% (1/15) Wales : 7% (1/15),England : 74% (17/23) Scotland : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23),Saracens," Date :  Saturday, October 2, 2021 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,0,,2,41_74,4,8_10_32_48,0,,0,,13 - 12
919 kg (114.88 kg),27 ans,26 ans,208 cm,England : 53% (8/15) South Africa : 40% (6/15) New Zealand : 7% (1/15),England : 52% (12/23) South Africa : 30% (7/23) Scotland : 9% (2/23) New Zealand : 4% (1/23) Canada : 4% (1/23),Sale,948 kg (118.50 kg),28 ans,26 ans,198 cm,England : 67% (10/15) New Zealand : 7% (1/15) Zimbabwe : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15) Scotland : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Australia : 9% (2/23) Zimbabwe : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Scotland : 4% (1/23) Congo : 4% (1/23),Exeter," Date :  Sunday, October 3, 2021 Kick Off : 16:00 Venue : AJ Bell Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,3_70,3,56_39_54,1,10,2,20_42,1,5,2,41_58,15 - 25
911 kg (113.88 kg),27 ans,25 ans,200 cm,England : 67% (10/15) South Africa : 20% (3/15) Italy : 7% (1/15) Australia : 7% (1/15),England : 74% (17/23) South Africa : 13% (3/23) Italy : 4% (1/23) Australia : 4% (1/23) Scotland : 4% (1/23),Harlequins,916 kg (114.50 kg),27 ans,27 ans,201 cm,England : 60% (9/15) New Zealand : 20% (3/15) Scotland : 7% (1/15) Wales : 7% (1/15) Nigeria : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) Wales : 13% (3/23) Scotland : 4% (1/23) Nigeria : 4% (1/23) Fiji : 4% (1/23) Samoa : 4% (1/23),Bristol," Date :  Friday, October 8, 2021 Kick Off : 20:45 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",7,76_50_27_47_62_57_71,3,13_18_25,0,,1,41,6,29_47_55_58_72_77,3,14_19_25,52 - 24
937 kg (117.13 kg),29 ans,27 ans,207 cm,England : 40% (6/15) Australia : 13% (2/15) New Zealand : 13% (2/15) Argentina : 7% (1/15) South Africa : 7% (1/15) Tonga : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),England : 30% (7/23) Australia : 17% (4/23) South Africa : 13% (3/23) Ireland : 13% (3/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Tonga : 4% (1/23) Fiji : 4% (1/23) Wales : 4% (1/23),London Irish,918 kg (114.75 kg),26 ans,28 ans,198 cm,England : 60% (9/15) Australia : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Argentina : 7% (1/15) Scotland : 7% (1/15),England : 57% (13/23) South Africa : 9% (2/23) Argentina : 9% (2/23) Australia : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Zimbabwe : 4% (1/23),Leicester," Date :  Saturday, October 9, 2021 Kick Off : 16:00 Venue : Brentford Community Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,54,2,18_48,3,26_36_45,3,62_71_77,1,55,1,50,16 - 21
936 kg (117.00 kg),27 ans,26 ans,201 cm,England : 67% (10/15) Australia : 7% (1/15) Zimbabwe : 7% (1/15) New Zealand : 7% (1/15) Argentina : 7% (1/15) Scotland : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Scotland : 9% (2/23) Australia : 4% (1/23) Zimbabwe : 4% (1/23) Argentina : 4% (1/23) Congo : 4% (1/23) Ireland : 4% (1/23),Exeter,912 kg (114.00 kg),28 ans,26 ans,207 cm,England : 60% (9/15) South Africa : 13% (2/15) Scotland : 7% (1/15) Wales : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),England : 61% (14/23) Wales : 13% (3/23) South Africa : 9% (2/23) Scotland : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) Ireland : 4% (1/23),Worcester," Date :  Saturday, October 9, 2021 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",6,21_32_47_42_43_73,1,78,0,,0,,6,22_33_44_44_49_74,0,,42 - 5
917 kg (114.63 kg),28 ans,28 ans,201 cm,England : 53% (8/15) Scotland : 13% (2/15) Russia : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) Wales : 7% (1/15) New Zealand : 7% (1/15),England : 57% (13/23) Scotland : 9% (2/23) New Zealand : 9% (2/23) Russia : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Wales : 4% (1/23) Georgia : 4% (1/23) Argentina : 4% (1/23),Gloucester,923 kg (115.38 kg),27 ans,25 ans,208 cm,England : 67% (10/15) South Africa : 27% (4/15) New Zealand : 7% (1/15),England : 61% (14/23) South Africa : 30% (7/23) New Zealand : 4% (1/23) Scotland : 4% (1/23),Sale," Date :  Saturday, October 9, 2021 Kick Off : 16:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,17_12_35_62,5,74_31_49_83_79,2,7_46,1,41,2,18_63,2,32_75,33 - 32
947 kg (118.38 kg),27 ans,27 ans,201 cm,England : 53% (8/15) New Zealand : 13% (2/15) Scotland : 13% (2/15) Italy : 7% (1/15) Australia : 7% (1/15) Wales : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Scotland : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23),Saracens,932 kg (116.50 kg),28 ans,26 ans,198 cm,England : 73% (11/15) Ireland : 7% (1/15) Italy : 7% (1/15) Scotland : 7% (1/15) South Africa : 7% (1/15),England : 65% (15/23) South Africa : 9% (2/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Italy : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23),Newcastle," Date :  Saturday, October 9, 2021 Kick Off : 16:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,52_47_82,2,20_15,3,13_58_76,3,30_68_78,3,48_53_83,2,16_21,37 - 23
951 kg (118.88 kg),29 ans,28 ans,198 cm,England : 67% (10/15) South Africa : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) Wales : 7% (1/15) Jersey : 7% (1/15),England : 61% (14/23) New Zealand : 13% (3/23) South Africa : 9% (2/23) Tonga : 4% (1/23) Wales : 4% (1/23) Jersey : 4% (1/23) Scotland : 4% (1/23),Wasps,937 kg (117.13 kg),28 ans,25 ans,202 cm,England : 60% (9/15) Fiji : 13% (2/15) South Africa : 13% (2/15) Wales : 7% (1/15) New Zealand : 7% (1/15),England : 65% (15/23) Fiji : 13% (3/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Wales : 4% (1/23),Northampton," Date :  Sunday, October 10, 2021 Kick Off : 16:00 Venue : Coventry Building Society Arena Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,58_17,3,12_62_81,4,32_50_68_71,1,26,2,18_58,1,13,26 - 20
912 kg (114.00 kg),26 ans,26 ans,199 cm,England : 40% (6/15) South Africa : 33% (5/15) Scotland : 13% (2/15) Samoa : 7% (1/15) New Zealand : 7% (1/15),England : 48% (11/23) South Africa : 30% (7/23) Scotland : 13% (3/23) Samoa : 4% (1/23) New Zealand : 4% (1/23),Sale,907 kg (113.38 kg),26 ans,25 ans,200 cm,England : 80% (12/15) South Africa : 20% (3/15),England : 74% (17/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Australia : 4% (1/23),Harlequins," Date :  Friday, October 15, 2021 Kick Off : 20:45 Venue : AJ Bell Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,40_13_78,3,17_40_35,3,22_48_75,1,63,2,14_41,2,18_36,28 - 22
958 kg (119.75 kg),29 ans,25 ans,204 cm,England : 73% (11/15) Ireland : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15),England : 61% (14/23) South Africa : 13% (3/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23) Scotland : 4% (1/23),Newcastle,918 kg (114.75 kg),28 ans,26 ans,201 cm,England : 53% (8/15) Wales : 27% (4/15) Scotland : 7% (1/15) Samoa : 7% (1/15) France : 7% (1/15),England : 61% (14/23) Wales : 17% (4/23) New Zealand : 9% (2/23) Scotland : 4% (1/23) Samoa : 4% (1/23) France : 4% (1/23),Bristol," Date :  Saturday, October 16, 2021 Kick Off : 16:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,38,1,54,2,69_74,0,,1,40,0,,13 - 5
916 kg (114.50 kg),28 ans,28 ans,198 cm,England : 53% (8/15) New Zealand : 20% (3/15) Scotland : 7% (1/15) Tonga : 7% (1/15) Wales : 7% (1/15) Jersey : 7% (1/15),England : 52% (12/23) New Zealand : 13% (3/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Tonga : 4% (1/23) Wales : 4% (1/23) Jersey : 4% (1/23),Wasps,936 kg (117.00 kg),27 ans,27 ans,203 cm,England : 60% (9/15) Australia : 13% (2/15) Zimbabwe : 7% (1/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),England : 65% (15/23) Australia : 9% (2/23) Scotland : 9% (2/23) Zimbabwe : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23),Exeter," Date :  Saturday, October 16, 2021 Kick Off : 16:00 Venue : Coventry Building Society Arena Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,33_39,4,67_60_24_20,3,4_18_58,1,8,2,34_40,2,26_61,23 - 27
904 kg (113.00 kg),28 ans,25 ans,207 cm,England : 47% (7/15) Wales : 20% (3/15) South Africa : 20% (3/15) Scotland : 7% (1/15) Tonga : 7% (1/15),England : 61% (14/23) Wales : 13% (3/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Tonga : 4% (1/23),Worcester,941 kg (117.63 kg),27 ans,27 ans,201 cm,England : 47% (7/15) South Africa : 20% (3/15) Argentina : 13% (2/15) Zimbabwe : 7% (1/15) Fiji : 7% (1/15) Scotland : 7% (1/15),England : 48% (11/23) South Africa : 13% (3/23) Argentina : 9% (2/23) Fiji : 9% (2/23) Scotland : 9% (2/23) Zimbabwe : 4% (1/23) Australia : 4% (1/23) Samoa : 4% (1/23),Leicester," Date :  Saturday, October 16, 2021 Kick Off : 16:00 Venue : Sixways Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,7,32_71_26_11_68_56_74,1,16,1,5,0,,5,12_33_57_73_76,3 - 48
