Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
914 kg (114.25 kg),29 ans,27 ans,201 cm,England : 40% (6/15) Wales : 20% (3/15) New Zealand : 13% (2/15) Samoa : 13% (2/15) Fiji : 7% (1/15) Nigeria : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) Wales : 13% (3/23) Samoa : 9% (2/23) Fiji : 4% (1/23) Nigeria : 4% (1/23),Bristol,922 kg (115.25 kg),26 ans,26 ans,201 cm,England : 73% (11/15) Italy : 7% (1/15) Scotland : 7% (1/15) Australia : 7% (1/15) Wales : 7% (1/15),England : 70% (16/23) Scotland : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Saracens," Date :  Friday, September 17, 2021 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,1,69,3,4_14_17,7,10_32_39_44_46_58_64,0,,0,,9 - 26
893 kg (111.63 kg),28 ans,28 ans,207 cm,England : 53% (8/15) Wales : 20% (3/15) South Africa : 13% (2/15) New Zealand : 7% (1/15) Samoa : 7% (1/15),England : 61% (14/23) Wales : 17% (4/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) Ireland : 4% (1/23),Worcester,940 kg (117.50 kg),29 ans,25 ans,207 cm,England : 40% (6/15) South Africa : 13% (2/15) Australia : 13% (2/15) Argentina : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),England : 43% (10/23) South Africa : 13% (3/23) Australia : 13% (3/23) Ireland : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) Wales : 4% (1/23),London Irish," Date :  Saturday, September 18, 2021 Kick Off : 16:00 Venue : Sixways Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,15_50_36_68_39,4,44_6_63_72,1,61,0,,4,17_40_52_69,2,64_74,36 - 24
918 kg (114.75 kg),26 ans,26 ans,198 cm,England : 60% (9/15) Australia : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15) Scotland : 7% (1/15),England : 61% (14/23) South Africa : 9% (2/23) Australia : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Zimbabwe : 4% (1/23),Leicester,938 kg (117.25 kg),27 ans,26 ans,198 cm,England : 73% (11/15) South Africa : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15),England : 65% (15/23) Australia : 9% (2/23) South Africa : 9% (2/23) Fiji : 4% (1/23) Congo : 4% (1/23) Scotland : 4% (1/23) New Zealand : 4% (1/23),Exeter," Date :  Saturday, September 18, 2021 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,59_67_36_22_11,2,15_80,1,2,0,,3,38_60_68,1,80,34 - 19
944 kg (118.00 kg),27 ans,26 ans,202 cm,England : 80% (12/15) New Zealand : 13% (2/15) South Africa : 7% (1/15),England : 70% (16/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Samoa : 9% (2/23) Fiji : 4% (1/23),Northampton,907 kg (113.38 kg),27 ans,26 ans,201 cm,England : 80% (12/15) Australia : 13% (2/15) Scotland : 7% (1/15),England : 65% (15/23) Scotland : 9% (2/23) Australia : 9% (2/23) Russia : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23) Georgia : 4% (1/23),Gloucester," Date :  Saturday, September 18, 2021 Kick Off : 16:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,73_43_7_46,3,54_25_67,2,5_57,1,41,4,8_45_47_74,1,55,34 - 20
920 kg (115.00 kg),26 ans,26 ans,208 cm,England : 40% (6/15) South Africa : 40% (6/15) Scotland : 13% (2/15) Samoa : 7% (1/15),England : 57% (13/23) South Africa : 30% (7/23) Scotland : 9% (2/23) Samoa : 4% (1/23),Sale,898 kg (112.25 kg),26 ans,26 ans,198 cm,England : 80% (12/15) South Africa : 7% (1/15) Zimbabwe : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Zimbabwe : 4% (1/23) Fiji : 4% (1/23) Scotland : 4% (1/23),Bath," Date :  Saturday, September 18, 2021 Kick Off : 18:00 Venue : AJ Bell Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,29_34,1,52,2,23_78,4,38_43_67_74,2,30_36,1,53,20 - 19
946 kg (118.25 kg),31 ans,25 ans,204 cm,England : 67% (10/15) South Africa : 13% (2/15) Samoa : 7% (1/15) Ireland : 7% (1/15) Australia : 7% (1/15),England : 61% (14/23) South Africa : 13% (3/23) Fiji : 9% (2/23) Samoa : 4% (1/23) Ireland : 4% (1/23) Australia : 4% (1/23) Italy : 4% (1/23),Newcastle,906 kg (113.25 kg),26 ans,25 ans,200 cm,England : 60% (9/15) South Africa : 20% (3/15) Argentina : 7% (1/15) Italy : 7% (1/15) Australia : 7% (1/15),England : 61% (14/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Argentina : 4% (1/23) Italy : 4% (1/23) Australia : 4% (1/23) Ireland : 4% (1/23),Harlequins," Date :  Sunday, September 19, 2021 Kick Off : 16:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,53_27_22,4,58_20_11_43,1,80,0,,1,27,3,12_21_59,20 - 26
924 kg (115.50 kg),28 ans,26 ans,201 cm,England : 80% (12/15) Scotland : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15),England : 70% (16/23) Scotland : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23) Russia : 4% (1/23) Namibia : 4% (1/23) Wales : 4% (1/23),Gloucester,918 kg (114.75 kg),25 ans,26 ans,201 cm,England : 53% (8/15) Australia : 7% (1/15) Zimbabwe : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15) Scotland : 7% (1/15),England : 65% (15/23) South Africa : 9% (2/23) Australia : 4% (1/23) Zimbabwe : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Scotland : 4% (1/23),Leicester," Date :  Friday, September 24, 2021 Kick Off : 20:45 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,16_33_56_71,4,26_66_11_52,0,,3,3_6_62,2,17_56,2,13_53,26 - 33
911 kg (113.88 kg),27 ans,25 ans,200 cm,England : 67% (10/15) South Africa : 20% (3/15) Italy : 7% (1/15) Australia : 7% (1/15),England : 70% (16/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23),Harlequins,893 kg (111.63 kg),28 ans,28 ans,207 cm,England : 60% (9/15) Wales : 20% (3/15) South Africa : 13% (2/15) New Zealand : 7% (1/15),England : 61% (14/23) Wales : 17% (4/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Ireland : 4% (1/23) Samoa : 4% (1/23),Worcester," Date :  Saturday, September 25, 2021 Kick Off : 16:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,73_29_40_53_16,4,58_42_82_62,0,,1,2,5,16_30_42_54_74,3,43_59_64,35 - 29
898 kg (112.25 kg),26 ans,25 ans,198 cm,England : 73% (11/15) South Africa : 13% (2/15) Zimbabwe : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Zimbabwe : 4% (1/23) Fiji : 4% (1/23) Scotland : 4% (1/23),Bath,939 kg (117.38 kg),30 ans,26 ans,204 cm,England : 67% (10/15) South Africa : 20% (3/15) Ireland : 7% (1/15) Australia : 7% (1/15),England : 57% (13/23) South Africa : 17% (4/23) Fiji : 9% (2/23) Ireland : 4% (1/23) Australia : 4% (1/23) Italy : 4% (1/23) Scotland : 4% (1/23),Newcastle," Date :  Saturday, September 25, 2021 Kick Off : 16:00 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,69,3,39_33_11,2,27_85,1,15,1,71,1,40,13 - 20
926 kg (115.75 kg),28 ans,28 ans,198 cm,England : 60% (9/15) New Zealand : 13% (2/15) Tonga : 13% (2/15) Scotland : 7% (1/15) Jersey : 7% (1/15),England : 70% (16/23) New Zealand : 13% (3/23) Tonga : 9% (2/23) Scotland : 4% (1/23) Jersey : 4% (1/23),Wasps,919 kg (114.88 kg),30 ans,26 ans,201 cm,England : 40% (6/15) Wales : 20% (3/15) New Zealand : 13% (2/15) Samoa : 13% (2/15) Fiji : 7% (1/15) Nigeria : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) Wales : 13% (3/23) Samoa : 9% (2/23) Fiji : 4% (1/23) Nigeria : 4% (1/23),Bristol," Date :  Saturday, September 25, 2021 Kick Off : 16:00 Venue : Coventry Building Society Arena Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5,43_77_12_35_63,1,27,2,19_30,1,2,4,45_65_79_81,0,,44 - 8
