Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home JIFF players  ( read JIFF study in Top 14 ),Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away JIFF players  ( read JIFF study in Top 14 ),Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
927 kg (115.88 kg),29 ans,27 ans,198 cm,France : 80% (12/15) South Africa : 13% (2/15) Fiji : 7% (1/15),France : 83% (19/23) South Africa : 9% (2/23) Fiji : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne,926 kg (115.75 kg),27 ans,25 ans,199 cm,France : 80% (12/15) New Zealand : 7% (1/15) Ireland : 7% (1/15) Samoa : 7% (1/15),France : 70% (16/23) New Zealand : 4% (1/23) Ireland : 4% (1/23) Samoa : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) England : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse," Date :  Friday, August 18, 2023 Kick Off : 21:10 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,27_55,1,24,2,46_67,0,,2,28_56,1,25,26 - 7
875 kg (109.38 kg),27 ans,27 ans,202 cm,France : 80% (12/15) Portugal : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 74% (17/23) South Africa : 9% (2/23) Portugal : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 14 / 15 (93 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Racing 92,948 kg (118.50 kg),27 ans,29 ans,204 cm,France : 67% (10/15) Australia : 20% (3/15) South Africa : 7% (1/15) Congo : 7% (1/15),France : 74% (17/23) Australia : 17% (4/23) South Africa : 4% (1/23) Congo : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux," Date :  Saturday, August 19, 2023 Kick Off : 14:00 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,15_50,2,18_56,3,35_43_79,2,73_26,2,16_51,1,57,23 - 18
930 kg (116.25 kg),27 ans,28 ans,202 cm,France : 47% (7/15) Fiji : 13% (2/15) Georgia : 7% (1/15) Samoa : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15) Australia : 7% (1/15) England : 7% (1/15),France : 61% (14/23) Fiji : 9% (2/23) Georgia : 4% (1/23) Samoa : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Australia : 4% (1/23) England : 4% (1/23) Cook Islands : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Perpignan,898 kg (112.25 kg),29 ans,26 ans,199 cm,France : 73% (11/15) Georgia : 13% (2/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 65% (15/23) Georgia : 13% (3/23) South Africa : 13% (3/23) Fiji : 4% (1/23) Australia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Paris," Date :  Saturday, August 19, 2023 Kick Off : 18:10 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,2,6_79,0,,5,25_31_51_65_69,0,,2,7_80,7 - 29
904 kg (113.00 kg),28 ans,28 ans,196 cm,France : 73% (11/15) New Zealand : 13% (2/15) Ireland : 13% (2/15),France : 74% (17/23) New Zealand : 13% (3/23) Ireland : 9% (2/23) Samoa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Oyonnax,901 kg (112.63 kg),28 ans,26 ans,204 cm,France : 67% (10/15) Australia : 13% (2/15) New Zealand : 13% (2/15) Fiji : 7% (1/15),France : 65% (15/23) Australia : 13% (3/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Clermont," Date :  Saturday, August 19, 2023 Kick Off : 18:10 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,66_28_5,2,38_23,5,40_48_70_73_81,1,2,3,6_29_67,2,24_39,36 - 17
902 kg (112.75 kg),28 ans,28 ans,198 cm,France : 67% (10/15) Australia : 13% (2/15) Fiji : 13% (2/15) Canada : 7% (1/15),France : 70% (16/23) Fiji : 13% (3/23) Australia : 9% (2/23) Canada : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres,917 kg (114.63 kg),28 ans,26 ans,205 cm,France : 47% (7/15) England : 20% (3/15) Australia : 13% (2/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Spain : 7% (1/15),France : 61% (14/23) England : 13% (3/23) Australia : 9% (2/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) Spain : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau," Date :  Saturday, August 19, 2023 Kick Off : 18:10 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,1,41,8,7_11_30_48_54_65_70_81,3,4_33_69,0,,1,42,24 - 23
932 kg (116.50 kg),28 ans,28 ans,200 cm,France : 53% (8/15) New Zealand : 27% (4/15) England : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15),France : 65% (15/23) New Zealand : 17% (4/23) England : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Ireland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 8 / 15 (53 %)  PRO NON-JIFF PLAYER : 7 / 15 (47 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon,897 kg (112.13 kg),26 ans,27 ans,195 cm,France : 80% (12/15) Fiji : 13% (2/15) South Africa : 7% (1/15),France : 65% (15/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Cameroon : 4% (1/23) Wales : 4% (1/23) Australia : 4% (1/23) England : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 14 / 15 (93 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Toulon," Date :  Saturday, August 19, 2023 Kick Off : 18:10 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,30_72_77,0,,2,44_55,5,18_21_47_51_60,3,31_73_78,0,,27 - 15
958 kg (119.75 kg),28 ans,25 ans,200 cm,France : 53% (8/15) New Zealand : 13% (2/15) South Africa : 13% (2/15) Tonga : 7% (1/15) England : 7% (1/15) Canada : 7% (1/15),France : 61% (14/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Tonga : 4% (1/23) England : 4% (1/23) Canada : 4% (1/23) Georgia : 4% (1/23) Scotland : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier,908 kg (113.50 kg),26 ans,25 ans,200 cm,France : 60% (9/15) New Zealand : 13% (2/15) Georgia : 7% (1/15) Ireland : 7% (1/15) England : 7% (1/15) South Africa : 7% (1/15),France : 74% (17/23) New Zealand : 9% (2/23) Georgia : 4% (1/23) Ireland : 4% (1/23) England : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),La Rochelle," Date :  Sunday, August 20, 2023 Kick Off : 00:00 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,38_43,2,23_62,4,79_9_61_74,1,13,2,39_44,1,24,26 - 15
883 kg (110.38 kg),27 ans,27 ans,199 cm,France : 67% (10/15) Georgia : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 61% (14/23) South Africa : 13% (3/23) Georgia : 9% (2/23) England : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23) Germany : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Paris,921 kg (115.13 kg),30 ans,28 ans,204 cm,France : 60% (9/15) New Zealand : 20% (3/15) Ireland : 13% (2/15) Australia : 7% (1/15),France : 65% (15/23) New Zealand : 13% (3/23) Ireland : 9% (2/23) Australia : 4% (1/23) Tonga : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Oyonnax," Date :  Friday, August 25, 2023 Kick Off : 21:00 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1,77,2,42_57,6,10_15_24_45_57_62,2,12_32,1,78,1,42,28 - 18
919 kg (114.88 kg),25 ans,27 ans,200 cm,France : 60% (9/15) Australia : 13% (2/15) Ireland : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) England : 7% (1/15),France : 65% (15/23) Australia : 9% (2/23) New Zealand : 9% (2/23) Ireland : 4% (1/23) South Africa : 4% (1/23) England : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),La Rochelle,943 kg (117.88 kg),26 ans,27 ans,200 cm,France : 60% (9/15) New Zealand : 20% (3/15) England : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15),France : 65% (15/23) New Zealand : 13% (3/23) England : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon," Date :  Saturday, August 26, 2023 Kick Off : 15:00 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,24_48_19,2,14_59,3,6_28_45,0,,2,25_49,2,15_60,35 - 14
903 kg (112.88 kg),29 ans,27 ans,204 cm,France : 53% (8/15) Australia : 13% (2/15) Fiji : 13% (2/15) New Zealand : 13% (2/15) Argentina : 7% (1/15),France : 65% (15/23) Australia : 9% (2/23) Fiji : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) Moldova : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Clermont,919 kg (114.88 kg),27 ans,29 ans,202 cm,France : 60% (9/15) Fiji : 13% (2/15) South Africa : 7% (1/15) Samoa : 7% (1/15) Argentina : 7% (1/15) Australia : 7% (1/15),France : 70% (16/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23) Australia : 4% (1/23) Cook Islands : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Perpignan," Date :  Saturday, August 26, 2023 Kick Off : 17:00 Venue :  Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",5,54_76_30_48_64,2,72_81,1,20,0,,5,31_49_55_77_65,2,73_82,38 - 14
