home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
900 kg (112.50 kg),25 ans,27 ans,200 cm,Italy : 53% (8/15) Argentina : 27% (4/15) South Africa : 13% (2/15) New Zealand : 7% (1/15),Italy : 61% (14/23) Argentina : 17% (4/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Scotland : 4% (1/23),Benetton,960 kg (120.00 kg),28 ans,26 ans,205 cm,Scotland : 33% (5/15) England : 13% (2/15) Argentina : 13% (2/15) South Africa : 13% (2/15) Australia : 13% (2/15) New Zealand : 13% (2/15),Scotland : 43% (10/23) England : 13% (3/23) South Africa : 13% (3/23) New Zealand : 13% (3/23) Argentina : 9% (2/23) Australia : 9% (2/23),Glasgow,Stadio Comunale di Monigo,"Friday, September 16, 2022",18:30,4,2,3,0,1,0,2,0,36_42_79_21,43_80,12_47_57,,60,,16_42,,33 - 11
917 kg (114.63 kg),25 ans,26 ans,198 cm,Italy : 47% (7/15) South Africa : 27% (4/15) England : 20% (3/15) New Zealand : 7% (1/15),Italy : 52% (12/23) South Africa : 22% (5/23) England : 13% (3/23) Argentina : 9% (2/23) New Zealand : 4% (1/23),Zebre,923 kg (115.38 kg),27 ans,25 ans,203 cm,Ireland : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 83% (19/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Georgia : 4% (1/23),Leinster,Stadio Sergio Lanfranchi,"Saturday, September 17, 2022",14:00,5,2,0,0,5,4,0,0,55_48_32_28_69,56_70,,,36_20_25_5_60,5_21_27_37,,,29 - 33
929 kg (116.13 kg),29 ans,29 ans,203 cm,Wales : 87% (13/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 78% (18/23) Tonga : 13% (3/23) Samoa : 4% (1/23) Moldova : 4% (1/23),Cardiff,884 kg (110.50 kg),25 ans,26 ans,203 cm,Ireland : 80% (12/15) South Africa : 13% (2/15) Tonga : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) Tonga : 4% (1/23) United-States : 4% (1/23) France : 4% (1/23),Munster,Cardiff Arms Park,"Saturday, September 17, 2022",16:05,3,1,1,0,1,1,2,0,37_3_77,38,68,,62,63,16_30,,20 - 13
892 kg (111.50 kg),24 ans,26 ans,202 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,930 kg (116.25 kg),26 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Emirates Airlines Park,"Saturday, September 17, 2022",16:05,2,1,1,0,3,2,4,0,33_43,44,6,,3_22_71,3_73,20_47_58_65,,15 - 31
933 kg (116.63 kg),29 ans,26 ans,198 cm,Wales : 53% (8/15) New Zealand : 20% (3/15) Tonga : 13% (2/15) Argentina : 7% (1/15) England : 7% (1/15),Wales : 57% (13/23) England : 17% (4/23) New Zealand : 13% (3/23) Tonga : 9% (2/23) Argentina : 4% (1/23),Scarlets,914 kg (114.25 kg),29 ans,26 ans,203 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) England : 7% (1/15),Wales : 74% (17/23) England : 9% (2/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,Parc y Scarlets,"Saturday, September 17, 2022",18:15,2,2,3,0,2,2,3,0,65_52,53_65,13_41_44,,5_81,6_82,9_17_46,,23 - 23
934 kg (116.75 kg),27 ans,28 ans,201 cm,Scotland : 53% (8/15) South Africa : 13% (2/15) England : 13% (2/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15),Scotland : 48% (11/23) South Africa : 17% (4/23) England : 17% (4/23) Australia : 9% (2/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Edinburgh,914 kg (114.25 kg),27 ans,26 ans,203 cm,Wales : 47% (7/15) England : 27% (4/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Ireland : 7% (1/15),Wales : 65% (15/23) England : 17% (4/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Ireland : 4% (1/23),Dragons,The DAM Health Stadium,"Saturday, September 17, 2022",20:35,7,3,1,0,0,0,2,0,34_27_53_62_41_49_60,27_50_63,40,,,,2_12,,44 - 6
906 kg (113.25 kg),27 ans,26 ans,201 cm,Ireland : 87% (13/15) Australia : 7% (1/15) England : 7% (1/15),Ireland : 87% (20/23) Australia : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23),Ulster,898 kg (112.25 kg),28 ans,26 ans,204 cm,Ireland : 80% (12/15) Australia : 13% (2/15) Tonga : 7% (1/15),Ireland : 83% (19/23) Australia : 9% (2/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Connacht,Kingspan Stadium,"Saturday, September 17, 2022",20:35,5,4,1,0,1,1,1,0,37_50_27_63_75,28_38_52_76,44,,70,71,41,,36 - 10
907 kg (113.38 kg),26 ans,26 ans,201 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,902 kg (112.75 kg),29 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,Hollywoodbets Kings Park,"Saturday, February 4, 2023",13:00,3,2,0,0,6,5,2,0,38_69_62,39_63,,,31_17_1_57_41_48,18_33_42_49_2,25_74,,19 - 46
924 kg (115.50 kg),26 ans,25 ans,198 cm,Italy : 53% (8/15) England : 20% (3/15) South Africa : 20% (3/15) New Zealand : 7% (1/15),Italy : 61% (14/23) South Africa : 17% (4/23) England : 13% (3/23) New Zealand : 4% (1/23) Argentina : 4% (1/23),Zebre,909 kg (113.63 kg),26 ans,26 ans,200 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,Stadio Sergio Lanfranchi,"Friday, September 23, 2022",18:30,5,3,2,0,5,4,3,0,42_50_44_72_74,43_45_72,14_78,,17_9_26_22_67,11_18_23_27,42_62_76,,37 - 42
932 kg (116.50 kg),26 ans,27 ans,203 cm,Ireland : 87% (13/15) Australia : 7% (1/15) South Africa : 7% (1/15),Ireland : 87% (20/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster,905 kg (113.13 kg),26 ans,26 ans,200 cm,Italy : 53% (8/15) Argentina : 20% (3/15) New Zealand : 13% (2/15) Scotland : 7% (1/15) Fiji : 7% (1/15),Italy : 57% (13/23) Argentina : 13% (3/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) Scotland : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Benetton,RDS Arena,"Friday, September 23, 2022",20:35,6,6,0,0,1,1,1,0,5_16_28_52_45_72,7_17_29_47_53_74,,,57,58,22,,42 - 10
931 kg (116.38 kg),28 ans,26 ans,205 cm,Scotland : 60% (9/15) Australia : 13% (2/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Argentina : 7% (1/15),Scotland : 43% (10/23) South Africa : 17% (4/23) New Zealand : 13% (3/23) Argentina : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23),Glasgow,936 kg (117.00 kg),28 ans,28 ans,203 cm,Wales : 100% (15/15),Wales : 91% (21/23) Tonga : 9% (2/23),Cardiff,Scotstoun Stadium,"Friday, September 23, 2022",20:35,8,6,0,0,3,3,1,0,22_51_46_29_41_73_24_64,23_26_30_42_47_64,,,43_15_69,17_44_70,36,,52 - 24
939 kg (117.38 kg),29 ans,25 ans,198 cm,Wales : 60% (9/15) Tonga : 13% (2/15) New Zealand : 13% (2/15) England : 13% (2/15),Wales : 65% (15/23) England : 17% (4/23) Tonga : 9% (2/23) New Zealand : 9% (2/23),Scarlets,914 kg (114.25 kg),29 ans,27 ans,199 cm,Ireland : 80% (12/15) England : 13% (2/15) South Africa : 7% (1/15),Ireland : 74% (17/23) England : 13% (3/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Ulster,Parc y Scarlets,"Saturday, September 24, 2022",14:00,5,4,2,0,7,7,2,0,40_20_17_53_62,19_42_54_63,24_68,,14_5_41_33_57_48_77,6_15_34_42_49_58_78,43_74,,39 - 55
936 kg (117.00 kg),25 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,923 kg (115.38 kg),29 ans,27 ans,198 cm,Scotland : 53% (8/15) South Africa : 27% (4/15) England : 13% (2/15) Fiji : 7% (1/15),Scotland : 43% (10/23) South Africa : 26% (6/23) England : 22% (5/23) Fiji : 4% (1/23) Australia : 4% (1/23),Edinburgh,Loftus Versfeld,"Saturday, September 24, 2022",14:30,4,2,3,0,5,3,0,0,11_18_64_40,12_42,5_50_79,,68_31_45_51_23,25_32_69,,,33 - 31
896 kg (112.00 kg),28 ans,26 ans,198 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,880 kg (110.00 kg),27 ans,26 ans,201 cm,Ireland : 60% (9/15) Australia : 27% (4/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 65% (15/23) Australia : 17% (4/23) New Zealand : 13% (3/23) England : 4% (1/23),Connacht,Danie Craven Stadium,"Saturday, September 24, 2022",14:30,4,3,4,0,2,1,1,0,61_66_3_82,5_63_84,12_26_44_54,,38_70,71,7,,38 - 15
925 kg (115.63 kg),31 ans,25 ans,203 cm,Wales : 73% (11/15) England : 13% (2/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23),Ospreys,894 kg (111.75 kg),25 ans,26 ans,202 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,Swansea.com Stadium,"Saturday, September 24, 2022",20:35,4,2,1,0,3,2,3,0,32_11_16_52,12_16,60,,18_48_70,19_71,6_37_56,,27 - 28
901 kg (112.63 kg),27 ans,27 ans,203 cm,Wales : 47% (7/15) England : 27% (4/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Ireland : 7% (1/15),Wales : 61% (14/23) England : 22% (5/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Ireland : 4% (1/23),Dragons,897 kg (112.13 kg),29 ans,26 ans,203 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) Tonga : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23),Munster,Rodney Parade,"Sunday, September 25, 2022",16:00,1,0,6,0,2,2,1,0,71,,9_15_22_26_34_80,,36_39,36_40,2,,23 - 17
939 kg (117.38 kg),26 ans,25 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,886 kg (110.75 kg),30 ans,25 ans,198 cm,Ireland : 60% (9/15) Australia : 20% (3/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 57% (13/23) Australia : 17% (4/23) New Zealand : 9% (2/23) England : 9% (2/23) Tonga : 4% (1/23) Scotland : 4% (1/23),Connacht,Loftus Versfeld,"Friday, September 30, 2022",18:30,4,4,0,0,2,2,0,0,39_9_45_6,7_10_41_46,,,72_67,67_73,,,28 - 14
911 kg (113.88 kg),28 ans,27 ans,199 cm,Ireland : 80% (12/15) England : 13% (2/15) South Africa : 7% (1/15),Ireland : 83% (19/23) England : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ulster,937 kg (117.13 kg),27 ans,28 ans,203 cm,Ireland : 87% (13/15) Australia : 7% (1/15) South Africa : 7% (1/15),Ireland : 83% (19/23) Australia : 4% (1/23) South Africa : 4% (1/23) Georgia : 4% (1/23) New Zealand : 4% (1/23),Leinster,Kingspan Stadium,"Friday, September 30, 2022",20:35,1,1,2,0,2,2,2,0,61,63,18_72,,20_7,9_22,36_45,,13 - 20
919 kg (114.88 kg),29 ans,28 ans,203 cm,Wales : 80% (12/15) Tonga : 13% (2/15) Samoa : 7% (1/15),Wales : 78% (18/23) Tonga : 13% (3/23) Samoa : 4% (1/23) Moldova : 4% (1/23),Cardiff,888 kg (111.00 kg),26 ans,25 ans,202 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,Cardiff Arms Park,"Friday, September 30, 2022",20:35,2,1,2,0,4,3,1,1,36_67,37,9_25,,49_77_63_41,50_64_77,29,41,18 - 31
893 kg (111.63 kg),28 ans,25 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,910 kg (113.75 kg),30 ans,27 ans,198 cm,Scotland : 47% (7/15) England : 27% (4/15) South Africa : 20% (3/15) Australia : 7% (1/15),Scotland : 52% (12/23) South Africa : 22% (5/23) England : 17% (4/23) Australia : 9% (2/23),Edinburgh,DHL Stadium,"Saturday, October 1, 2022",14:00,4,4,2,0,2,1,2,0,42_41_67_80,43_44_68_82,48_64,,28_75,29,5_52,,34 - 18
933 kg (116.63 kg),29 ans,26 ans,203 cm,Wales : 67% (10/15) New Zealand : 20% (3/15) England : 13% (2/15),Wales : 70% (16/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,930 kg (116.25 kg),28 ans,28 ans,205 cm,Scotland : 40% (6/15) New Zealand : 20% (3/15) Australia : 20% (3/15) England : 7% (1/15) United-States : 7% (1/15) Argentina : 7% (1/15),Scotland : 39% (9/23) New Zealand : 17% (4/23) Australia : 13% (3/23) South Africa : 13% (3/23) Argentina : 9% (2/23) England : 4% (1/23) United-States : 4% (1/23),Glasgow,Swansea.com Stadium,"Saturday, October 1, 2022",16:05,4,3,2,0,2,2,1,0,29_47_71_77,30_48_78,37_58,,82_79,79_84,40,,32 - 17
882 kg (110.25 kg),28 ans,25 ans,198 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15),Ireland : 83% (19/23) South Africa : 4% (1/23) Tonga : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23),Munster,946 kg (118.25 kg),25 ans,24 ans,200 cm,Italy : 60% (9/15) South Africa : 20% (3/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Italy : 70% (16/23) South Africa : 17% (4/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23),Zebre,Musgrave Park,"Saturday, October 1, 2022",18:05,3,3,0,0,1,0,0,0,8_24_17,8_18_25,,,44,,,,21 - 5
