home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
912 kg (114.00 kg),28 ans,27 ans,198 cm,Wales : 73% (11/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23),Ospreys,896 kg (112.00 kg),25 ans,25 ans,200 cm,Italy : 67% (10/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),Italy : 61% (14/23) New Zealand : 13% (3/23) Samoa : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23) Romania : 4% (1/23),Zebre,Swansea.com Stadium,"Sunday, March 6, 2022",15:00,3,3,2,0,1,1,5,0,31_35_68,33_36_70,3_62,,53,54,18_23_50_57_74,,27 - 22
907 kg (113.38 kg),28 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,931 kg (116.38 kg),25 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,DHL Stadium,"Saturday, April 9, 2022",14:00,1,1,3,0,2,2,1,0,42,43,26_55_60,,73_50,51_74,14,,19 - 17
929 kg (116.13 kg),28 ans,26 ans,200 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,908 kg (113.50 kg),26 ans,24 ans,202 cm,South Africa : 87% (13/15) Congo : 13% (2/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,Hollywoodbets Kings Park,"Saturday, April 9, 2022",16:05,4,4,3,0,1,1,1,0,59_6_10_69,7_11_61_70,30_48_80,,75,76,21,,37 - 10
904 kg (113.00 kg),26 ans,24 ans,202 cm,South Africa : 87% (13/15) Congo : 13% (2/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,912 kg (114.00 kg),28 ans,26 ans,198 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) South Africa : 7% (1/15),Wales : 87% (20/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Ospreys,Emirates Airlines Park,"Friday, March 25, 2022",18:00,7,5,0,0,2,1,1,0,42_37_54_70_10_76_67,11_38_43_55_77,,,49_63,50,29,,45 - 15
871 kg (108.88 kg),25 ans,25 ans,198 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Ireland : 83% (19/23) South Africa : 13% (3/23) England : 4% (1/23),Munster,911 kg (113.88 kg),28 ans,26 ans,200 cm,Argentina : 33% (5/15) South Africa : 33% (5/15) Italy : 20% (3/15) New Zealand : 7% (1/15) Fiji : 7% (1/15),Italy : 39% (9/23) Argentina : 22% (5/23) South Africa : 22% (5/23) New Zealand : 9% (2/23) Fiji : 4% (1/23) England : 4% (1/23),Benetton,Musgrave Park,"Friday, March 25, 2022",20:35,6,6,3,0,3,2,1,0,64_33_45_77_18_69,20_35_47_66_70_78,7_41_58,,40_82_54,42_84,24,,51 - 22
932 kg (116.50 kg),28 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,920 kg (115.00 kg),29 ans,27 ans,199 cm,Ireland : 73% (11/15) South Africa : 13% (2/15) England : 13% (2/15),Ireland : 78% (18/23) England : 13% (3/23) South Africa : 9% (2/23),Ulster,DHL Stadium,"Saturday, March 26, 2022",14:00,2,2,3,0,2,2,2,0,2_6,3_7,28_40_54,,21_56,22_57,32_38,,23 - 20
905 kg (113.13 kg),26 ans,25 ans,200 cm,Italy : 80% (12/15) Argentina : 7% (1/15) England : 7% (1/15) New Zealand : 7% (1/15),Italy : 74% (17/23) Argentina : 9% (2/23) Samoa : 9% (2/23) England : 4% (1/23) New Zealand : 4% (1/23),Zebre,919 kg (114.88 kg),27 ans,24 ans,198 cm,Wales : 60% (9/15) New Zealand : 20% (3/15) Argentina : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15),Wales : 65% (15/23) New Zealand : 13% (3/23) England : 13% (3/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Scarlets,Stadio Sergio Lanfranchi,"Saturday, March 26, 2022",14:00,3,3,1,0,6,4,1,0,54_76_57,58_56_77,25,,50_60_28_21_33_70,22_30_33_61,14,,24 - 41
926 kg (115.75 kg),29 ans,26 ans,200 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,932 kg (116.50 kg),27 ans,26 ans,203 cm,Scotland : 40% (6/15) England : 33% (5/15) Argentina : 13% (2/15) South Africa : 7% (1/15) Fiji : 7% (1/15),Scotland : 43% (10/23) England : 22% (5/23) South Africa : 13% (3/23) Argentina : 9% (2/23) Fiji : 4% (1/23) Ireland : 4% (1/23) New Zealand : 4% (1/23),Edinburgh,Hollywoodbets Kings Park,"Saturday, March 26, 2022",16:05,1,0,0,0,3,3,0,0,50,,,,19_68_55,21_56_69,,,5 - 21
930 kg (116.25 kg),28 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,909 kg (113.63 kg),25 ans,25 ans,198 cm,Wales : 80% (12/15) New Zealand : 7% (1/15) England : 7% (1/15) Argentina : 7% (1/15),Wales : 87% (20/23) New Zealand : 4% (1/23) England : 4% (1/23) Argentina : 4% (1/23),Dragons,Loftus Versfeld,"Saturday, March 26, 2022",18:15,8,6,1,0,3,1,1,0,36_54_3_25_64_27_47_68,4_26_28_38_55_69,9,,51_41_40,52,23,,55 - 20
922 kg (115.25 kg),29 ans,27 ans,196 cm,Wales : 87% (13/15) Moldova : 7% (1/15) Tonga : 7% (1/15),Wales : 91% (21/23) Moldova : 4% (1/23) Tonga : 4% (1/23),Cardiff,927 kg (115.88 kg),28 ans,26 ans,205 cm,Scotland : 53% (8/15) Australia : 13% (2/15) New Zealand : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15),Scotland : 61% (14/23) Australia : 9% (2/23) England : 9% (2/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Argentina : 4% (1/23),Glasgow,Cardiff Arms Park,"Saturday, March 26, 2022",18:15,4,3,2,0,4,4,0,0,33_67_56_3,34_57_68,10_78,,28_22_14_41,15_23_30_42,,,32 - 28
881 kg (110.13 kg),26 ans,27 ans,201 cm,Ireland : 80% (12/15) New Zealand : 7% (1/15) England : 7% (1/15) Australia : 7% (1/15),Ireland : 87% (20/23) New Zealand : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23),Connacht,915 kg (114.38 kg),27 ans,25 ans,198 cm,Ireland : 93% (14/15) Australia : 7% (1/15),Ireland : 96% (22/23) Australia : 4% (1/23),Leinster,The Sportsground,"Saturday, March 26, 2022",20:35,1,0,1,0,7,5,0,0,38,,21,,71_55_13_63_66_76_52,14_53_56_71_77,,,8 - 45
948 kg (118.50 kg),26 ans,27 ans,201 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,921 kg (115.13 kg),27 ans,26 ans,203 cm,Wales : 73% (11/15) England : 27% (4/15),Wales : 70% (16/23) England : 22% (5/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Dragons,Hollywoodbets Kings Park,"Friday, April 1, 2022",19:30,6,4,3,2,0,0,1,0,29_34_47_67_58_62,30_36_49_68,7_12_18,58_62,,,15,,51 - 3
896 kg (112.00 kg),27 ans,26 ans,199 cm,Scotland : 47% (7/15) South Africa : 13% (2/15) England : 13% (2/15) Argentina : 13% (2/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Scotland : 61% (14/23) Argentina : 13% (3/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Glasgow,925 kg (115.63 kg),26 ans,24 ans,200 cm,Italy : 47% (7/15) New Zealand : 13% (2/15) Samoa : 13% (2/15) Argentina : 7% (1/15) England : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),Italy : 65% (15/23) New Zealand : 9% (2/23) Samoa : 9% (2/23) Argentina : 4% (1/23) England : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23),Zebre,Scotstoun Stadium,"Friday, April 1, 2022",20:35,6,5,0,0,2,1,0,0,9_3_42_62_23_33,4_10_25_33_63,,,40_78,78,,,40 - 12
893 kg (111.63 kg),27 ans,26 ans,200 cm,Italy : 47% (7/15) Argentina : 20% (3/15) South Africa : 20% (3/15) New Zealand : 7% (1/15) Australia : 7% (1/15),Italy : 48% (11/23) Argentina : 26% (6/23) South Africa : 13% (3/23) New Zealand : 4% (1/23) Australia : 4% (1/23) England : 4% (1/23),Benetton,894 kg (111.75 kg),27 ans,27 ans,201 cm,Ireland : 73% (11/15) Australia : 20% (3/15) Tonga : 7% (1/15),Ireland : 74% (17/23) Australia : 13% (3/23) Tonga : 4% (1/23) Samoa : 4% (1/23) New Zealand : 4% (1/23),Connacht,Stadio Comunale di Monigo,"Saturday, April 2, 2022",13:00,2,2,1,0,3,3,0,0,68_48,49_70,8,,18_0_75,1_19_76,,,17 - 21
931 kg (116.38 kg),25 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,926 kg (115.75 kg),29 ans,25 ans,199 cm,Ireland : 80% (12/15) South Africa : 13% (2/15) England : 7% (1/15),Ireland : 87% (20/23) South Africa : 9% (2/23) England : 4% (1/23),Ulster,Loftus Versfeld,"Saturday, April 2, 2022",14:00,4,4,2,0,1,1,3,0,66_43_55_75,43_56_67_76,23_52,,63,64,10_30_35,,34 - 16
934 kg (116.75 kg),25 ans,23 ans,202 cm,South Africa : 87% (13/15) Congo : 13% (2/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,915 kg (114.38 kg),29 ans,26 ans,203 cm,Scotland : 47% (7/15) England : 27% (4/15) South Africa : 20% (3/15) Argentina : 7% (1/15),Scotland : 52% (12/23) South Africa : 26% (6/23) England : 17% (4/23) Argentina : 4% (1/23),Edinburgh,Emirates Airlines Park,"Saturday, April 2, 2022",16:05,2,1,1,0,0,0,2,0,51_29,52,67,,,,28_63,,15 - 9
937 kg (117.13 kg),27 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,923 kg (115.38 kg),27 ans,27 ans,203 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) England : 7% (1/15),Wales : 74% (17/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23),Ospreys,DHL Stadium,"Saturday, April 2, 2022",18:15,4,3,1,0,1,1,2,0,8_4_26_53,5_9_55,39,,79,81,2_17,,29 - 13
915 kg (114.38 kg),28 ans,26 ans,203 cm,Ireland : 67% (10/15) South Africa : 20% (3/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 13% (3/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,922 kg (115.25 kg),29 ans,27 ans,211 cm,Ireland : 80% (12/15) New Zealand : 13% (2/15) Australia : 7% (1/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) Australia : 4% (1/23),Leinster,Thomond Park,"Saturday, April 2, 2022",20:00,1,1,4,0,4,1,4,0,62,63,12_20_27_37,,47_73_15_57,59,9_25_42_54,,19 - 34
