home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
904 kg (113.00 kg),27 ans,26 ans,206 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 13% (3/23) England : 4% (1/23) New Zealand : 4% (1/23),Munster,939 kg (117.38 kg),27 ans,27 ans,203 cm,Wales : 93% (14/15) Samoa : 7% (1/15),Wales : 96% (22/23) Samoa : 4% (1/23),Cardiff,Musgrave Park,"Friday, April 29, 2022",20:35,5,4,3,0,3,3,0,0,39_5_25_62_76,7_26_41_63,18_32_60,,1_55_11,3_13_56,,,42 - 21
934 kg (116.75 kg),25 ans,25 ans,202 cm,South Africa : 87% (13/15) Congo : 13% (2/15),South Africa : 87% (20/23) Congo : 9% (2/23) Namibia : 4% (1/23),Lions,898 kg (112.25 kg),26 ans,26 ans,200 cm,Italy : 53% (8/15) South Africa : 27% (4/15) Argentina : 13% (2/15) Australia : 7% (1/15),Italy : 61% (14/23) South Africa : 22% (5/23) Argentina : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23),Benetton,Emirates Airlines Park,"Saturday, April 30, 2022",14:00,5,3,2,0,4,3,0,0,13_41_61_40_52,41_42_62,1_67,,83_30_24_37,25_30_85,,,37 - 29
955 kg (119.38 kg),28 ans,26 ans,201 cm,South Africa : 93% (14/15) Australia : 7% (1/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,896 kg (112.00 kg),29 ans,26 ans,204 cm,Ireland : 67% (10/15) Australia : 20% (3/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Ireland : 78% (18/23) Australia : 13% (3/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Connacht,Hollywoodbets Kings Park,"Saturday, April 30, 2022",16:05,5,5,2,0,2,1,3,0,48_76_23_53_44,25_45_49_54_77,14_73,,26_35,36,7_20_31,,41 - 21
931 kg (116.38 kg),27 ans,25 ans,202 cm,Italy : 60% (9/15) England : 13% (2/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Italy : 65% (15/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23),Zebre,923 kg (115.38 kg),24 ans,26 ans,198 cm,Wales : 93% (14/15) New Zealand : 7% (1/15),Wales : 87% (20/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23),Dragons,Stadio Sergio Lanfranchi,"Saturday, April 30, 2022",16:05,3,0,2,1,2,1,2,0,23_74_63,,11_15,63,58_54,58,5_14,,23 - 18
928 kg (116.00 kg),27 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,895 kg (111.88 kg),24 ans,23 ans,200 cm,Ireland : 100% (15/15),Ireland : 96% (22/23) Georgia : 4% (1/23),Leinster,DHL Stadium,"Saturday, April 30, 2022",18:15,3,0,1,1,1,1,2,0,52_44_65,,15,65,59,60,17_19,,20 - 13
913 kg (114.13 kg),26 ans,28 ans,203 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) England : 7% (1/15),Wales : 74% (17/23) New Zealand : 13% (3/23) England : 9% (2/23) South Africa : 4% (1/23),Ospreys,932 kg (116.50 kg),27 ans,27 ans,198 cm,Wales : 67% (10/15) England : 13% (2/15) New Zealand : 7% (1/15) Argentina : 7% (1/15) Tonga : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) New Zealand : 4% (1/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Scarlets,Swansea.com Stadium,"Saturday, April 30, 2022",18:15,8,7,0,0,5,4,1,0,48_53_26_44_68_57_78_15,17_27_46_55_58_69_79,,,19_23_33_74_71,20_24_34_71,7,,54 - 36
914 kg (114.25 kg),29 ans,27 ans,198 cm,Scotland : 53% (8/15) South Africa : 20% (3/15) England : 20% (3/15) Argentina : 7% (1/15),Scotland : 57% (13/23) England : 17% (4/23) South Africa : 13% (3/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Edinburgh,935 kg (116.88 kg),29 ans,25 ans,199 cm,Ireland : 67% (10/15) England : 20% (3/15) South Africa : 13% (2/15),Ireland : 74% (17/23) South Africa : 13% (3/23) England : 13% (3/23),Ulster,The DAM Health Stadium,"Saturday, April 30, 2022",20:35,1,1,1,0,1,1,3,0,67,68,42,,13,14,19_35_48,,10 - 16
883 kg (110.38 kg),25 ans,26 ans,200 cm,Italy : 60% (9/15) Argentina : 20% (3/15) South Africa : 13% (2/15) England : 7% (1/15),Italy : 52% (12/23) Argentina : 26% (6/23) South Africa : 13% (3/23) England : 4% (1/23) New Zealand : 4% (1/23),Benetton,946 kg (118.25 kg),28 ans,25 ans,203 cm,Wales : 93% (14/15) Moldova : 7% (1/15),Wales : 96% (22/23) Moldova : 4% (1/23),Cardiff,Stadio Comunale di Monigo,"Friday, May 20, 2022",19:00,10,8,1,0,3,3,0,0,70_72_18_12_31_54_15_49_67_76,13_17_19_32_56_70_73_78,24,,36_44_60,37_45_61,,,69 - 21
920 kg (115.00 kg),29 ans,25 ans,198 cm,Ireland : 80% (12/15) South Africa : 13% (2/15) England : 7% (1/15),Ireland : 78% (18/23) England : 13% (3/23) South Africa : 9% (2/23),Ulster,930 kg (116.25 kg),28 ans,25 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Kingspan Stadium,"Friday, May 20, 2022",20:35,3,3,1,0,3,3,0,0,43_64_26,27_44_65,16,,75_61_78,62_76_79,,,24 - 21
913 kg (114.13 kg),26 ans,30 ans,203 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) England : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Ospreys,931 kg (116.38 kg),25 ans,25 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,Swansea.com Stadium,"Friday, May 20, 2022",21:10,4,4,1,0,6,4,0,0,37_56_78_77,37_57_77_79,32,,19_3_46_61_64_41,20_42_47_63,,,31 - 38
884 kg (110.50 kg),26 ans,26 ans,203 cm,Wales : 67% (10/15) England : 13% (2/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) Argentina : 7% (1/15),Wales : 70% (16/23) England : 13% (3/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23) Nigeria : 4% (1/23),Dragons,901 kg (112.63 kg),25 ans,24 ans,202 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 91% (21/23) Congo : 4% (1/23) Namibia : 4% (1/23),Lions,Rodney Parade,"Saturday, May 21, 2022",16:00,1,0,2,0,3,3,0,0,21,,31_41,,52_44_28,29_45_52,,,11 - 21
892 kg (111.50 kg),26 ans,26 ans,204 cm,Ireland : 80% (12/15) Australia : 13% (2/15) England : 7% (1/15),Ireland : 83% (19/23) Australia : 9% (2/23) England : 4% (1/23) New Zealand : 4% (1/23),Connacht,904 kg (113.00 kg),25 ans,24 ans,202 cm,Italy : 67% (10/15) Argentina : 7% (1/15) England : 7% (1/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),Italy : 70% (16/23) South Africa : 9% (2/23) Argentina : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) Samoa : 4% (1/23),Zebre,The Sportsground,"Saturday, May 21, 2022",18:00,4,1,0,0,3,1,1,0,16_25_6_48,26,,,77_41_66,78,3,,22 - 20
922 kg (115.25 kg),28 ans,27 ans,203 cm,Wales : 80% (12/15) England : 13% (2/15) Tonga : 7% (1/15),Wales : 78% (18/23) England : 13% (3/23) Tonga : 4% (1/23) Argentina : 4% (1/23),Scarlets,927 kg (115.88 kg),27 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,Parc y Scarlets,"Saturday, May 21, 2022",18:10,2,1,3,0,4,3,0,0,70_6,7,3_16_27,,37_13_41_79,14_38_42,,,21 - 26
911 kg (113.88 kg),29 ans,27 ans,198 cm,Scotland : 67% (10/15) South Africa : 13% (2/15) England : 13% (2/15) Argentina : 7% (1/15),Scotland : 52% (12/23) England : 17% (4/23) South Africa : 13% (3/23) Argentina : 4% (1/23) Ireland : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Edinburgh,918 kg (114.75 kg),29 ans,25 ans,205 cm,Scotland : 47% (7/15) Australia : 20% (3/15) England : 13% (2/15) New Zealand : 13% (2/15) United-States : 7% (1/15),Scotland : 48% (11/23) England : 13% (3/23) New Zealand : 13% (3/23) Australia : 13% (3/23) United-States : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23),Glasgow,Murrayfield,"Saturday, May 21, 2022",19:30,3,2,3,0,1,0,2,0,44_29_62,30_64,14_38_53,,67,,20_36,,28 - 11
892 kg (111.50 kg),25 ans,25 ans,198 cm,Ireland : 100% (15/15),Ireland : 100% (23/23),Leinster,907 kg (113.38 kg),26 ans,27 ans,206 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 13% (3/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,Aviva Stadium,"Saturday, May 21, 2022",20:15,4,2,3,1,3,2,2,0,1_22_53_50,22_54,8_45_70,50,11_40_16,16_41,48_60,,35 - 25
920 kg (115.00 kg),29 ans,26 ans,198 cm,Ireland : 80% (12/15) South Africa : 13% (2/15) England : 7% (1/15),Ireland : 78% (18/23) England : 13% (3/23) South Africa : 9% (2/23),Ulster,898 kg (112.25 kg),27 ans,28 ans,203 cm,Ireland : 73% (11/15) South Africa : 13% (2/15) New Zealand : 7% (1/15) England : 7% (1/15),Ireland : 74% (17/23) South Africa : 17% (4/23) New Zealand : 4% (1/23) England : 4% (1/23),Munster,Kingspan Stadium,"Friday, June 3, 2022",20:35,5,4,1,0,3,1,0,0,42_9_60_24_32,10_25_43_61,56,,18_52_69,18,,,36 - 17
924 kg (115.50 kg),26 ans,25 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,947 kg (118.38 kg),28 ans,26 ans,201 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Australia : 4% (1/23),Sharks,Loftus Versfeld,"Saturday, June 4, 2022",13:45,3,3,2,0,3,3,2,0,44_12_50,13_45_51,19_32,,15_57_74,16_59_75,4_39,,30 - 27
912 kg (114.00 kg),25 ans,28 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,925 kg (115.63 kg),29 ans,27 ans,205 cm,Scotland : 53% (8/15) Australia : 20% (3/15) England : 13% (2/15) United-States : 7% (1/15) New Zealand : 7% (1/15),Scotland : 48% (11/23) England : 13% (3/23) Australia : 13% (3/23) New Zealand : 13% (3/23) United-States : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23),Glasgow,RDS Arena,"Saturday, June 4, 2022",16:15,12,8,0,0,2,2,0,0,14_38_23_42_53_68_55_18_63_76_47_70,16_19_24_43_48_54_69_70,,,4_59,5_60,,,76 - 14
927 kg (115.88 kg),27 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,911 kg (113.88 kg),29 ans,27 ans,198 cm,Scotland : 73% (11/15) South Africa : 13% (2/15) England : 7% (1/15) Argentina : 7% (1/15),Scotland : 57% (13/23) South Africa : 13% (3/23) England : 13% (3/23) Argentina : 4% (1/23) Ireland : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Edinburgh,DHL Stadium,"Saturday, June 4, 2022",19:00,3,2,3,0,2,2,1,0,53_43_2,3_44,11_51_68,,14_55,16_56,7,,28 - 17
910 kg (113.75 kg),26 ans,29 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,924 kg (115.50 kg),26 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,RDS Arena,"Friday, June 10, 2022",20:35,4,3,0,0,3,2,2,1,8_69_32_81,10_33_82,,,19_24_52,20_25,13_76,52,26 - 27
927 kg (115.88 kg),27 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,920 kg (115.00 kg),29 ans,26 ans,198 cm,Ireland : 80% (12/15) South Africa : 13% (2/15) England : 7% (1/15),Ireland : 78% (18/23) England : 13% (3/23) South Africa : 9% (2/23),Ulster,DHL Stadium,"Saturday, June 11, 2022",15:00,3,1,0,0,2,1,1,0,3_13_84,86,,,17_27,28,40,,17 - 15
927 kg (115.88 kg),27 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,924 kg (115.50 kg),26 ans,26 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Bulls,DHL Stadium,"Saturday, June 18, 2022",19:30,2,1,1,0,1,1,2,0,44_56,45,42,,2,3,42_64,,18 - 13
