Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
917 kg (114.63 kg),29 ans,28 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Sharks,927 kg (115.88 kg),26 ans,28 ans,201 cm,Scotland : 60% (9/15) Australia : 13% (2/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Argentina : 7% (1/15),Scotland : 61% (14/23) Australia : 13% (3/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) England : 4% (1/23),Glasgow," Date :  Saturday, October 19, 2024 Kick Off : 15:45 Venue : Hollywoodbets Kings Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,26_32_70,4.0,79_17_36_80,3.0,11_45_66,0.0,,2.0,27_71,2.0,19_82,28 - 24
919 kg (114.88 kg),28 ans,28 ans,203 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Zimbabwe : 4% (1/23),Stormers,921 kg (115.13 kg),30 ans,27 ans,206 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Ireland : 87% (20/23) England : 9% (2/23) South Africa : 4% (1/23),Munster," Date :  Saturday, October 19, 2024 Kick Off : 18:00 Venue : DHL Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,33_46_82_5,3.0,17_26_67,1.0,74,0.0,,4.0,6_34_47_83,2.0,19_68,34 - 19
939 kg (117.38 kg),27 ans,28 ans,200 cm,Scotland : 60% (9/15) South Africa : 20% (3/15) England : 13% (2/15) Australia : 7% (1/15),Scotland : 52% (12/23) England : 22% (5/23) South Africa : 17% (4/23) Australia : 4% (1/23) Canada : 4% (1/23),Edinburgh,889 kg (111.13 kg),28 ans,25 ans,201 cm,Wales : 60% (9/15) England : 33% (5/15) Ireland : 7% (1/15),Wales : 65% (15/23) England : 26% (6/23) Ireland : 4% (1/23) South Africa : 4% (1/23),Cardiff," Date :  Saturday, October 19, 2024 Kick Off : 18:15 Venue : Hive Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,45_65_78_61,1.0,28,1.0,6,1.0,57,2.0,46_79,0.0,,27 - 8
902 kg (112.75 kg),29 ans,26 ans,201 cm,Ireland : 53% (8/15) England : 13% (2/15) New Zealand : 13% (2/15) Australia : 7% (1/15) Argentina : 7% (1/15) South Africa : 7% (1/15),Ireland : 65% (15/23) New Zealand : 13% (3/23) England : 9% (2/23) Australia : 4% (1/23) Argentina : 4% (1/23) South Africa : 4% (1/23),Connacht,918 kg (114.75 kg),27 ans,25 ans,207 cm,Ireland : 80% (12/15) France : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) France : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster," Date :  Saturday, October 19, 2024 Kick Off : 20:35 Venue : Dexcom Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,33_64,5.0,38_45_65_5_15,0.0,,0.0,,1.0,64,4.0,6_16_40_66,12 - 33
902 kg (112.75 kg),25 ans,27 ans,198 cm,Wales : 87% (13/15) Argentina : 7% (1/15) England : 7% (1/15),Wales : 87% (20/23) Argentina : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23),Dragons,889 kg (111.13 kg),25 ans,26 ans,198 cm,Italy : 40% (6/15) Argentina : 33% (5/15) England : 20% (3/15) Australia : 7% (1/15),Italy : 43% (10/23) Argentina : 26% (6/23) England : 13% (3/23) Australia : 4% (1/23) Nigeria : 4% (1/23) Zimbabwe : 4% (1/23) Tonga : 4% (1/23),Benetton," Date :  Saturday, October 19, 2024 Kick Off : 20:35 Venue : Rodney Parade Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,72_49_26,4.0,36_45_67_60,0.0,,1.0,32,3.0,28_50_73,4.0,37_47_61_68,21 - 31
,,,,,,Scarlets,,,,,,,Zebre," Date :  Friday, October 25, 2024 Kick Off : 20:35 Venue : Parc y Scarlets Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Trévise,,,,,,,Bulls," Date :  Friday, October 25, 2024 Kick Off : 20:35 Venue : Stadio Comunale di Monigo Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:35 PM
,,,,,,Stormers,,,,,,,Glasgow," Date :  Saturday, October 26, 2024 Kick Off : 13:45 Venue : Danie Craven Stadium Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,1:45 PM
,,,,,,Ospreys,,,,,,,Edimbourg," Date :  Saturday, October 26, 2024 Kick Off : 16:00 Venue : Dunraven Brewery Field Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Sharks,,,,,,,Munster," Date :  Saturday, October 26, 2024 Kick Off : 16:00 Venue : Hollywoodbets Kings Park Tournament : United Rugby Championship Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
