Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home JIFF players  ( read JIFF study in Top 14 ),Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away JIFF players  ( read JIFF study in Top 14 ),Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
901 kg (112.63 kg),27 ans,28 ans,198 cm,France : 27% (4/15) England : 13% (2/15) Fiji : 13% (2/15) New Zealand : 13% (2/15) Ireland : 7% (1/15) Australia : 7% (1/15) Scotland : 7% (1/15) Canada : 7% (1/15) Georgia : 7% (1/15),France : 43% (10/23) Fiji : 13% (3/23) Georgia : 9% (2/23) England : 9% (2/23) New Zealand : 9% (2/23) Ireland : 4% (1/23) Australia : 4% (1/23) Scotland : 4% (1/23) Canada : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 7 / 15 (47 %)  PRO NON-JIFF PLAYER : 8 / 15 (53 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 14 / 23 (61%)  PRO NON-JIFF PLAYER : 9 / 23 (39 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Biarritz,933 kg (116.63 kg),30 ans,26 ans,204 cm,France : 73% (11/15) Australia : 13% (2/15) Georgia : 7% (1/15) New Zealand : 7% (1/15),France : 78% (18/23) Georgia : 9% (2/23) Australia : 9% (2/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 21 / 23 (91%)  PRO NON-JIFF PLAYER : 2 / 23 (9 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux," Date :  Saturday, September 4, 2021 Kick Off : 14:00 Venue : Parc des Sports d'Aguilera Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,32_25_45,2,78_74,2,19_50,1,29,3,26_33_46,1,75,27 - 15
949 kg (118.63 kg),28 ans,25 ans,198 cm,France : 40% (6/15) England : 13% (2/15) Fiji : 13% (2/15) Georgia : 7% (1/15) Australia : 7% (1/15) Samoa : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15),France : 39% (9/23) Georgia : 17% (4/23) Fiji : 13% (3/23) England : 9% (2/23) Australia : 4% (1/23) Samoa : 4% (1/23) Ireland : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 8 / 15 (53 %)  PRO NON-JIFF PLAYER : 7 / 15 (47 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 14 / 23 (61%)  PRO NON-JIFF PLAYER : 9 / 23 (39 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Brive,917 kg (114.63 kg),30 ans,27 ans,202 cm,France : 53% (8/15) Samoa : 13% (2/15) Georgia : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15),France : 61% (14/23) Fiji : 9% (2/23) Samoa : 9% (2/23) Georgia : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Moldova : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Perpignan," Date :  Saturday, September 4, 2021 Kick Off : 16:05 Venue : Stadium Municipal Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,32_12_68,0,,4,7_26_37_59,5,9_16_20_43_56,3,13_33_69,0,,36 - 15
942 kg (117.75 kg),28 ans,28 ans,198 cm,France : 40% (6/15) Fiji : 13% (2/15) Tonga : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) Canada : 7% (1/15) New Zealand : 7% (1/15) Uruguay : 7% (1/15) Argentina : 7% (1/15),France : 43% (10/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) Tonga : 4% (1/23) Australia : 4% (1/23) Canada : 4% (1/23) Uruguay : 4% (1/23) Argentina : 4% (1/23) Germany : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 7 / 15 (47 %)  PRO NON-JIFF PLAYER : 8 / 15 (53 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 13 / 23 (57%)  PRO NON-JIFF PLAYER : 10 / 23 (43 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres,913 kg (114.13 kg),28 ans,25 ans,205 cm,France : 47% (7/15) Fiji : 13% (2/15) Tonga : 7% (1/15) Georgia : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15) Samoa : 7% (1/15) Australia : 7% (1/15),France : 52% (12/23) Tonga : 9% (2/23) Fiji : 9% (2/23) Australia : 9% (2/23) Georgia : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Samoa : 4% (1/23) Germany : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau," Date :  Saturday, September 4, 2021 Kick Off : 16:05 Venue : Stade Pierre Fabre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1,18,0,,3,32_22_68,3,6_26_52,1,19,0,,16 - 12
927 kg (115.88 kg),28 ans,25 ans,202 cm,France : 47% (7/15) Tonga : 13% (2/15) Fiji : 13% (2/15) Georgia : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),France : 52% (12/23) South Africa : 13% (3/23) Tonga : 9% (2/23) Australia : 9% (2/23) Fiji : 9% (2/23) Georgia : 4% (1/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris,899 kg (112.38 kg),28 ans,26 ans,202 cm,France : 73% (11/15) South Africa : 7% (1/15) Argentina : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15),France : 70% (16/23) Australia : 13% (3/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Racing 92," Date :  Saturday, September 4, 2021 Kick Off : 18:15 Venue : Stade Jean Bouin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2,67_79,3,21_28_75,3,2_24_51,5,7_54_61_11_71,1,79,3,22_28_76,21 - 36
957 kg (119.63 kg),29 ans,24 ans,202 cm,France : 60% (9/15) South Africa : 13% (2/15) Georgia : 7% (1/15) England : 7% (1/15) Samoa : 7% (1/15) Italy : 7% (1/15),France : 65% (15/23) Samoa : 9% (2/23) South Africa : 9% (2/23) Georgia : 4% (1/23) England : 4% (1/23) Italy : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon,920 kg (115.00 kg),29 ans,27 ans,203 cm,France : 73% (11/15) Fiji : 7% (1/15) England : 7% (1/15) Georgia : 7% (1/15) South Africa : 7% (1/15),France : 70% (16/23) Georgia : 9% (2/23) South Africa : 9% (2/23) Fiji : 4% (1/23) England : 4% (1/23) United-States : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier," Date :  Saturday, September 4, 2021 Kick Off : 21:05 Venue : Stade Mayol Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,2,80_12,8,3_9_27_40_56_63_68_75,4,71_18_61_65,0,,1,80,24 - 24
886 kg (110.75 kg),30 ans,26 ans,196 cm,France : 53% (8/15) New Zealand : 13% (2/15) Argentina : 7% (1/15) Australia : 7% (1/15) Georgia : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15),France : 61% (14/23) Georgia : 9% (2/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) Argentina : 4% (1/23) Australia : 4% (1/23) Samoa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Lyon,927 kg (115.88 kg),27 ans,27 ans,203 cm,France : 73% (11/15) Australia : 7% (1/15) Ireland : 7% (1/15) Fiji : 7% (1/15) Tonga : 7% (1/15),France : 70% (16/23) Fiji : 9% (2/23) Australia : 4% (1/23) Ireland : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23) Moldova : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Clermont," Date :  Sunday, September 5, 2021 Kick Off : 17:45 Venue : Matmut Stadium Gerland Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,33_37_10,1,8,3,40_53_59,4,17_20_29_49,2,12_38,1,9,28 - 19
940 kg (117.50 kg),29 ans,26 ans,203 cm,France : 53% (8/15) South Africa : 20% (3/15) New Zealand : 13% (2/15) Cameroon : 7% (1/15) Spain : 7% (1/15),France : 61% (14/23) South Africa : 13% (3/23) New Zealand : 9% (2/23) Cameroon : 4% (1/23) Spain : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle,923 kg (115.38 kg),27 ans,26 ans,208 cm,France : 87% (13/15) Australia : 13% (2/15),France : 83% (19/23) Australia : 13% (3/23) Samoa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse," Date :  Sunday, September 5, 2021 Kick Off : 21:05 Venue : Stade Marcel Deflandre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1,18,1,66,3,39_46_52,5,3_15_40_59_74,1,19,0,,16 - 20
912 kg (114.00 kg),27 ans,25 ans,203 cm,France : 87% (13/15) Fiji : 7% (1/15) Tonga : 7% (1/15),France : 65% (15/23) Fiji : 9% (2/23) Tonga : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Ireland : 4% (1/23) Zimbabwe : 4% (1/23) Moldova : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 14 / 15 (93 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 2 / 23 (9 %),Clermont,912 kg (114.00 kg),27 ans,29 ans,198 cm,France : 60% (9/15) Australia : 13% (2/15) Fiji : 13% (2/15) South Africa : 7% (1/15) Argentina : 7% (1/15),France : 70% (16/23) Australia : 9% (2/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres," Date :  Saturday, September 11, 2021 Kick Off : 15:00 Venue : Parc des Sports Marcel Michelin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3,38_8_50,3,76_23_40,3,16_26_73,4,4_19_67_69,3,9_39_51,2,40_78,30 - 34
916 kg (114.50 kg),28 ans,25 ans,203 cm,France : 60% (9/15) Fiji : 13% (2/15) United-States : 7% (1/15) England : 7% (1/15) Georgia : 7% (1/15) South Africa : 7% (1/15),France : 74% (17/23) Fiji : 9% (2/23) United-States : 4% (1/23) England : 4% (1/23) Georgia : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier,929 kg (116.13 kg),26 ans,25 ans,198 cm,Fiji : 33% (5/15) France : 27% (4/15) Ireland : 13% (2/15) South Africa : 13% (2/15) Australia : 7% (1/15) Argentina : 7% (1/15),France : 26% (6/23) Fiji : 22% (5/23) Georgia : 22% (5/23) Ireland : 9% (2/23) South Africa : 9% (2/23) Australia : 4% (1/23) Argentina : 4% (1/23) England : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Brive," Date :  Saturday, September 11, 2021 Kick Off : 15:00 Venue : GGL Stadium Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",5,20_51_4_35_39,3,14_45_68,2,10_28,0,,4,5_36_40_52,1,46,39 - 17
911 kg (113.88 kg),28 ans,25 ans,205 cm,France : 47% (7/15) Tonga : 13% (2/15) Fiji : 13% (2/15) Germany : 7% (1/15) New Zealand : 7% (1/15) Samoa : 7% (1/15) England : 7% (1/15),France : 57% (13/23) Tonga : 9% (2/23) Fiji : 9% (2/23) Germany : 4% (1/23) New Zealand : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23) Australia : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau,906 kg (113.25 kg),28 ans,26 ans,200 cm,France : 73% (11/15) New Zealand : 13% (2/15) Australia : 7% (1/15) Samoa : 7% (1/15),France : 70% (16/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) Australia : 4% (1/23) Samoa : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon," Date :  Saturday, September 11, 2021 Kick Off : 15:00 Venue : Stade du Hameau Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,1,10,6,7_23_33_44_55_69,4,26_40_60_77,0,,0,,21 - 17
