match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2022-10-01,MUNSTER,ZEBRE,3.0,8_24_17,0.0,,0.0,,0.0,,3.0,8_18_25,0.0,,urc,pool stage,MUNSTER_ZEBRE_2022-10-01,21,5,16,882,946,28,25,25,24
2022-10-01,PERPIGNAN,CASTRES,1.0,39,1.0,59,3.0,7_24_30,1.0,54,0.0,,1.0,60,top-14,pool stage,PERPIGNAN_CASTRES_2022-10-01,14,10,4,906,923,30,29,27,27
2022-10-01,CLERMONT,LYON,6.0,14_27_37_50_54_72,3.0,60_34_75,1.0,22,1.0,19,5.0,15_28_38_55_73,1.0,75,top-14,pool stage,CLERMONT_LYON_2022-10-01,43,20,23,897,913,26,26,27,27
2022-10-01,SARACENS,LEICESTER,6.0,68_22_38_14_30_60,2.0,20_50,2.0,12_65,2.0,6_9,5.0,15_31_61_68_80,1.0,21,premiership,pool stage,SARACENS_LEICESTER_2022-10-01,51,18,33,942,939,27,28,27,29
2022-10-01,SALE,EXETER,3.0,46_36_68,2.0,11_50,3.0,24_61_77,2.0,30_72,2.0,38_47,2.0,13_50,premiership,pool stage,SALE_EXETER_2022-10-01,28,20,8,912,944,28,26,27,27
2022-10-01,LONDON IRISH,BATH,7.0,79_3_26_37_13_22_56,6.0,18_51_43_70_76_83,0.0,,0.0,,6.0,4_15_24_27_39_57,4.0,52_71_77_84,premiership,pool stage,LONDON IRISH_BATH_2022-10-01,47,38,9,918,934,29,24,29,27
2022-10-01,BORDEAUX,PARIS,0.0,,0.0,,5.0,14_36_46_53_68,1.0,25,0.0,,1.0,80,top-14,pool stage,BORDEAUX_PARIS_2022-10-01,15,10,5,946,909,28,26,26,25
2022-10-01,LA ROCHELLE,RACING 92,3.0,36_76_68,1.0,40,1.0,43,4.0,7_16_20_80,3.0,37_70_77,1.0,40,top-14,pool stage,LA ROCHELLE_RACING 92_2022-10-01,24,19,5,951,889,27,27,25,26
2022-10-01,BRIVE,BAYONNE,3.0,40_57_2,3.0,42_73_80,2.0,6_20,1.0,27,2.0,3_58,2.0,74_80,top-14,pool stage,BRIVE_BAYONNE_2022-10-01,25,22,3,946,954,26,26,27,28
2022-10-01,PAU,TOULON,2.0,25_68,4.0,14_18_10_29,1.0,1,2.0,3_61,2.0,26_69,4.0,11_15_19_30,top-14,pool stage,PAU_TOULON_2022-10-01,17,34,-17,900,928,26,26,28,28
