home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
887 kg (110.88 kg),27 ans,27 ans,201 cm,Ireland : 73% (11/15) New Zealand : 13% (2/15) England : 7% (1/15) Australia : 7% (1/15),Ireland : 74% (17/23) New Zealand : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23),Connacht,939 kg (117.38 kg),28 ans,27 ans,205 cm,Scotland : 60% (9/15) South Africa : 20% (3/15) New Zealand : 13% (2/15) Tonga : 7% (1/15),Scotland : 57% (13/23) South Africa : 17% (4/23) New Zealand : 9% (2/23) Tonga : 4% (1/23) England : 4% (1/23) Argentina : 4% (1/23) Australia : 4% (1/23),Glasgow,The Sportsground,"Saturday, October 28, 2023",16:00,3,2,5,0,4,2,0,1,45_18_60,46_61,4_8_14_52_57,,40_15_78_24,16_79,,24,34 - 26
922 kg (115.25 kg),27 ans,24 ans,203 cm,Ireland : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster,902 kg (112.75 kg),24 ans,27 ans,203 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Sharks,RDS Arena,"Saturday, October 28, 2023",17:55,5,3,1,0,1,1,2,0,21_4_65_52_80,22_53_81,48,,79,80,1_9,,34 - 13
937 kg (117.13 kg),30 ans,26 ans,201 cm,Scotland : 53% (8/15) South Africa : 13% (2/15) England : 13% (2/15) Wales : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),Scotland : 57% (13/23) South Africa : 13% (3/23) England : 13% (3/23) Wales : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Canada : 4% (1/23),Edinburgh,909 kg (113.63 kg),27 ans,26 ans,199 cm,South Africa : 87% (13/15) Zimbabwe : 7% (1/15) Congo : 7% (1/15),South Africa : 91% (21/23) Zimbabwe : 4% (1/23) Congo : 4% (1/23),Lions,Hive Stadium,"Saturday, October 28, 2023",18:00,2,2,1,0,1,1,3,0,13_62,13_63,41,,58,59,15_38_68,,17 - 16
897 kg (112.13 kg),25 ans,27 ans,201 cm,Italy : 53% (8/15) England : 13% (2/15) Zimbabwe : 7% (1/15) New Zealand : 7% (1/15) Tonga : 7% (1/15) Argentina : 7% (1/15) South Africa : 7% (1/15),Italy : 57% (13/23) England : 9% (2/23) Argentina : 9% (2/23) South Africa : 9% (2/23) Zimbabwe : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23) Samoa : 4% (1/23),Benetton,890 kg (111.25 kg),26 ans,25 ans,198 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) France : 4% (1/23),Munster,Stadio Comunale di Monigo,"Sunday, October 29, 2023",15:00,1,1,2,0,1,1,2,0,36,37,9_15,,79,80,13_73,,13 - 13
925 kg (115.63 kg),27 ans,27 ans,198 cm,Wales : 67% (10/15) England : 13% (2/15) Argentina : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) Argentina : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Dragons,911 kg (113.88 kg),27 ans,25 ans,203 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Tonga : 7% (1/15),Wales : 87% (20/23) South Africa : 4% (1/23) Tonga : 4% (1/23) England : 4% (1/23),Cardiff,Rodney Parade,"Sunday, October 29, 2023",15:30,0,0,3,0,1,1,3,0,,,9_36_78,,32,33,12_18_66,,9 - 16
920 kg (115.00 kg),27 ans,26 ans,201 cm,Ireland : 80% (12/15) England : 13% (2/15) Zimbabwe : 7% (1/15),Ireland : 87% (20/23) England : 9% (2/23) Zimbabwe : 4% (1/23),Ulster,944 kg (118.00 kg),26 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Kingspan Stadium,"Sunday, October 29, 2023",18:00,2,2,4,0,3,2,0,0,9_28,10_30,42_50_63_73,,35_68_40,36_68,,,26 - 19
944 kg (118.00 kg),29 ans,26 ans,205 cm,Scotland : 53% (8/15) Australia : 13% (2/15) South Africa : 7% (1/15) England : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15) Argentina : 7% (1/15),Scotland : 61% (14/23) South Africa : 9% (2/23) Australia : 9% (2/23) Argentina : 9% (2/23) England : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Glasgow,905 kg (113.13 kg),28 ans,28 ans,200 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Scotstoun Stadium,"Friday, November 3, 2023",20:35,3,1,1,0,0,0,3,0,28_40_24,24,33,,,,19_27_36,,20 - 9
888 kg (111.00 kg),25 ans,24 ans,204 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Australia : 7% (1/15),Wales : 87% (20/23) South Africa : 4% (1/23) Australia : 4% (1/23) England : 4% (1/23),Ospreys,899 kg (112.38 kg),26 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Twickenham Stoop,"Friday, November 3, 2023",20:35,3,2,0,0,1,0,0,0,39_14_28,29_40,,,3,,,,19 - 5
903 kg (112.88 kg),24 ans,24 ans,203 cm,Italy : 67% (10/15) Argentina : 13% (2/15) South Africa : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Italy : 70% (16/23) Argentina : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Tonga : 4% (1/23),Zebre,927 kg (115.88 kg),27 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Stadio Sergio Lanfranchi,"Saturday, November 4, 2023",14:00,4,3,1,0,8,7,0,0,8_29_56_67,29_58_68,36,,16_26_20_50_69_78_42_74,17_21_27_43_52_75_79,,,29 - 54
922 kg (115.25 kg),25 ans,24 ans,203 cm,Ireland : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) Australia : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster,906 kg (113.25 kg),31 ans,26 ans,201 cm,Scotland : 53% (8/15) South Africa : 27% (4/15) England : 13% (2/15) Ireland : 7% (1/15),Scotland : 48% (11/23) South Africa : 22% (5/23) England : 17% (4/23) Ireland : 4% (1/23) Canada : 4% (1/23) Wales : 4% (1/23),Edinburgh,RDS Arena,"Saturday, November 4, 2023",16:05,5,4,1,0,3,3,2,0,20_32_57_51_39,21_33_40_52,70,,73_66_53,54_67_73,17_36,,36 - 27
897 kg (112.13 kg),25 ans,26 ans,198 cm,Wales : 73% (11/15) Scotland : 7% (1/15) England : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) Scotland : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Scarlets,920 kg (115.00 kg),27 ans,25 ans,203 cm,Wales : 73% (11/15) England : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) Tonga : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Cardiff,Parc y Scarlets,"Saturday, November 4, 2023",18:15,4,4,1,0,3,2,2,0,19_64_52_37,20_38_53_65,73,,28_4_75,6_30,43_60,,31 - 25
895 kg (111.88 kg),25 ans,24 ans,206 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 96% (22/23) New Zealand : 4% (1/23),Munster,899 kg (112.38 kg),26 ans,25 ans,198 cm,Wales : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 87% (20/23) South Africa : 4% (1/23) England : 4% (1/23) New Zealand : 4% (1/23),Dragons,Musgrave Park,"Saturday, November 4, 2023",18:15,7,5,0,0,2,2,0,0,47_17_53_21_73_14_64,15_48_54_65_74,,,35_80,36_81,,,45 - 14
881 kg (110.13 kg),26 ans,26 ans,196 cm,Ireland : 80% (12/15) England : 7% (1/15) New Zealand : 7% (1/15) Australia : 7% (1/15),Ireland : 78% (18/23) New Zealand : 13% (3/23) England : 4% (1/23) Australia : 4% (1/23),Connacht,895 kg (111.88 kg),27 ans,24 ans,197 cm,Ireland : 100% (15/15),Ireland : 96% (22/23) England : 4% (1/23),Ulster,The Sportsground,"Saturday, November 4, 2023",20:35,3,2,1,0,2,2,2,0,73_48_53,48_54,19,,41_33,33_42,22_36,,22 - 20
893 kg (111.63 kg),26 ans,25 ans,201 cm,Italy : 53% (8/15) Argentina : 20% (3/15) Zimbabwe : 7% (1/15) England : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),Italy : 65% (15/23) Argentina : 13% (3/23) England : 9% (2/23) Zimbabwe : 4% (1/23) Tonga : 4% (1/23) South Africa : 4% (1/23),Benetton,882 kg (110.25 kg),26 ans,27 ans,199 cm,South Africa : 87% (13/15) Zimbabwe : 7% (1/15) Congo : 7% (1/15),South Africa : 91% (21/23) Zimbabwe : 4% (1/23) Congo : 4% (1/23),Lions,Stadio Comunale di Monigo,"Sunday, November 5, 2023",14:30,2,1,1,0,1,1,1,0,4_70,6,55,,62,63,17,,15 - 10
905 kg (113.13 kg),27 ans,25 ans,198 cm,Italy : 67% (10/15) Argentina : 20% (3/15) England : 13% (2/15),Italy : 70% (16/23) Argentina : 13% (3/23) England : 9% (2/23) New Zealand : 9% (2/23),Zebre,901 kg (112.63 kg),25 ans,28 ans,203 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Sharks,Stadio Sergio Lanfranchi,"Friday, November 10, 2023",18:30,0,0,4,0,1,1,1,0,,,13_6_59_66,,15,17,9,,12 - 10
908 kg (113.50 kg),26 ans,26 ans,201 cm,Wales : 67% (10/15) Tonga : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 74% (17/23) England : 9% (2/23) Tonga : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Cardiff,921 kg (115.13 kg),27 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Cardiff Arms Park,"Friday, November 10, 2023",20:35,2,1,0,0,2,1,2,0,22_52,53,,,10_13,14,42_61,,12 - 18
908 kg (113.50 kg),25 ans,27 ans,201 cm,Ireland : 87% (13/15) England : 13% (2/15),Ireland : 83% (19/23) England : 9% (2/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23),Ulster,895 kg (111.88 kg),26 ans,25 ans,198 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) France : 4% (1/23),Munster,Kingspan Stadium,"Friday, November 10, 2023",20:35,2,1,3,0,2,2,0,0,67_26,68,13_46_63,,8_17,9_19,,,21 - 14
896 kg (112.00 kg),26 ans,26 ans,198 cm,Italy : 60% (9/15) Argentina : 20% (3/15) England : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),Italy : 52% (12/23) Argentina : 17% (4/23) England : 13% (3/23) Tonga : 4% (1/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23) New Zealand : 4% (1/23),Benetton,906 kg (113.25 kg),28 ans,29 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Stadio Comunale di Monigo,"Saturday, November 11, 2023",16:00,2,2,1,0,3,1,0,0,23_55,24_56,34,,36_46_30,47,,,20 - 17
918 kg (114.75 kg),25 ans,26 ans,198 cm,Wales : 60% (9/15) England : 13% (2/15) New Zealand : 13% (2/15) Scotland : 7% (1/15) Tonga : 7% (1/15),Wales : 70% (16/23) England : 13% (3/23) New Zealand : 9% (2/23) Scotland : 4% (1/23) Tonga : 4% (1/23),Scarlets,890 kg (111.25 kg),27 ans,26 ans,200 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,Parc y Scarlets,"Saturday, November 11, 2023",18:15,2,2,3,0,3,3,1,0,68_16,18_69,3_47_54,,51_21_76,21_52_78,73,,23 - 24
891 kg (111.38 kg),26 ans,26 ans,203 cm,Wales : 87% (13/15) Australia : 7% (1/15) England : 7% (1/15),Wales : 87% (20/23) Australia : 4% (1/23) England : 4% (1/23) South Africa : 4% (1/23),Ospreys,946 kg (118.25 kg),29 ans,27 ans,205 cm,Scotland : 53% (8/15) Argentina : 13% (2/15) South Africa : 13% (2/15) England : 7% (1/15) Tonga : 7% (1/15) Australia : 7% (1/15),Scotland : 52% (12/23) Argentina : 13% (3/23) South Africa : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23),Glasgow,Swansea.com Stadium,"Saturday, November 11, 2023",18:15,2,2,3,0,4,4,1,0,56_5,6_57,25_55_72,,37_44_51_80,38_45_52_81,76,,23 - 31
919 kg (114.88 kg),28 ans,27 ans,201 cm,Scotland : 40% (6/15) South Africa : 20% (3/15) England : 13% (2/15) Canada : 7% (1/15) Wales : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),Scotland : 43% (10/23) South Africa : 17% (4/23) England : 17% (4/23) Canada : 4% (1/23) Wales : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) New Zealand : 4% (1/23),Edinburgh,881 kg (110.13 kg),25 ans,27 ans,201 cm,Ireland : 87% (13/15) Australia : 13% (2/15),Ireland : 83% (19/23) Australia : 9% (2/23) England : 4% (1/23) New Zealand : 4% (1/23),Connacht,Hive Stadium,"Saturday, November 11, 2023",20:35,3,2,1,0,3,2,1,0,66_4_45,6_47,55,,75_50_57,50_76,34,,25 - 22
904 kg (113.00 kg),29 ans,25 ans,198 cm,Wales : 93% (14/15) England : 7% (1/15),Wales : 87% (20/23) England : 9% (2/23) New Zealand : 4% (1/23),Dragons,918 kg (114.75 kg),24 ans,25 ans,203 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 87% (20/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23),Leinster,Rodney Parade,"Sunday, November 12, 2023",14:15,1,1,1,0,5,4,0,0,49,49,14,,8_37_61_40_81,9_38_42_82,,,10 - 33
911 kg (113.88 kg),29 ans,27 ans,201 cm,Scotland : 40% (6/15) South Africa : 27% (4/15) England : 13% (2/15) Canada : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),Scotland : 39% (9/23) South Africa : 22% (5/23) England : 22% (5/23) Canada : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Wales : 4% (1/23),Edinburgh,944 kg (118.00 kg),26 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,Hive Stadium,"Friday, November 17, 2023",20:35,4,1,3,0,2,2,3,0,32_42_63_48,64,15_18_80,,65_8,9_66,22_29_72,,31 - 23
903 kg (112.88 kg),28 ans,26 ans,198 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) Zimbabwe : 7% (1/15),Ireland : 87% (20/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23) England : 4% (1/23),Ulster,939 kg (117.38 kg),28 ans,26 ans,199 cm,South Africa : 93% (14/15) Congo : 7% (1/15),South Africa : 96% (22/23) Congo : 4% (1/23),Lions,Kingspan Stadium,"Friday, November 17, 2023",20:35,3,3,1,0,2,2,1,0,46_41_28,30_42_46,67,,34_10,12_35,44,,24 - 17
901 kg (112.63 kg),26 ans,24 ans,202 cm,Italy : 73% (11/15) Argentina : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15),Italy : 70% (16/23) Argentina : 17% (4/23) England : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Zebre,924 kg (115.50 kg),26 ans,26 ans,203 cm,Wales : 73% (11/15) England : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 74% (17/23) England : 9% (2/23) Tonga : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23),Cardiff,Stadio Sergio Lanfranchi,"Friday, November 17, 2023",20:35,3,2,1,0,3,2,1,0,33_37_84,34_85,61,,54_71_10,11_55,66,,22 - 22
899 kg (112.38 kg),26 ans,27 ans,203 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Zimbabwe : 4% (1/23),Sharks,880 kg (110.00 kg),28 ans,27 ans,196 cm,Ireland : 80% (12/15) Australia : 13% (2/15) England : 7% (1/15),Ireland : 74% (17/23) Australia : 13% (3/23) New Zealand : 9% (2/23) England : 4% (1/23),Connacht,Hollywoodbets Kings Park,"Saturday, November 18, 2023",16:00,2,1,0,0,1,1,2,0,31_49,51,,,7,8,34_66,,12 - 13
904 kg (113.00 kg),28 ans,26 ans,198 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 87% (20/23) New Zealand : 4% (1/23) France : 4% (1/23) England : 4% (1/23),Munster,909 kg (113.63 kg),28 ans,28 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Thomond Park,"Saturday, November 18, 2023",18:15,1,1,1,0,0,0,1,0,39,40,14,,,,45,,10 - 3
915 kg (114.38 kg),28 ans,26 ans,198 cm,Wales : 73% (11/15) England : 13% (2/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) New Zealand : 9% (2/23) South Africa : 4% (1/23),Dragons,910 kg (113.75 kg),28 ans,26 ans,203 cm,Wales : 80% (12/15) South Africa : 7% (1/15) Australia : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) South Africa : 4% (1/23) Australia : 4% (1/23) England : 4% (1/23) Congo : 4% (1/23),Ospreys,Rodney Parade,"Saturday, November 18, 2023",18:15,2,2,2,0,1,0,0,0,37_65,38_66,24_30,,4,,,,20 - 5
906 kg (113.25 kg),26 ans,25 ans,201 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 96% (22/23) New Zealand : 4% (1/23),Leinster,906 kg (113.25 kg),24 ans,26 ans,198 cm,Wales : 67% (10/15) England : 27% (4/15) Scotland : 7% (1/15),Wales : 78% (18/23) England : 17% (4/23) Scotland : 4% (1/23),Scarlets,RDS Arena,"Saturday, November 18, 2023",20:35,8,7,0,0,1,0,0,0,15_79_3_8_59_73_49_65,9_16_50_61_66_74_80,,,26,,,,54 - 5
936 kg (117.00 kg),28 ans,27 ans,205 cm,Scotland : 47% (7/15) New Zealand : 20% (3/15) Argentina : 13% (2/15) South Africa : 7% (1/15) Tonga : 7% (1/15) Australia : 7% (1/15),Scotland : 48% (11/23) Argentina : 13% (3/23) New Zealand : 13% (3/23) South Africa : 9% (2/23) Australia : 9% (2/23) Tonga : 4% (1/23) England : 4% (1/23),Glasgow,902 kg (112.75 kg),27 ans,27 ans,198 cm,Italy : 60% (9/15) Argentina : 20% (3/15) England : 13% (2/15) New Zealand : 7% (1/15),Italy : 52% (12/23) Argentina : 17% (4/23) England : 13% (3/23) South Africa : 9% (2/23) New Zealand : 4% (1/23) Samoa : 4% (1/23),Benetton,Scotstoun Stadium,"Saturday, November 18, 2023",20:35,4,3,0,0,0,0,4,0,66_20_54_16,17_21_67,,,,,6_10_22_59,,26 - 12
