home_pack_weight_average,home_forwards_average_age,home_backs_average_age,home_tallest_player,home_differents_nationalities_for_starters,home_differents_nationalities_for_all_the_team,home_team,away_pack_weight_average,away_forwards_average_age,away_backs_average_age,away_tallest_player,away_differents_nationalities_for_starters,away_differents_nationalities_for_all_the_team,away_team,stadium,match_date,match_time_french,home_n_tries,home_n_conversions,home_n_pen_kicks,home_n_pen_tries,away_n_tries,away_n_conversions,away_n_pen_kicks,away_n_pen_tries,mins_of_home_tries,mins_of_home_conversions,mins_of_home_pen_kicks,mins_of_home_pen_tries,mins_of_away_tries,mins_of_away_conversions,mins_of_away_pen_kicks,mins_of_away_pen_tries,match_result
907 kg (113.38 kg),27 ans,24 ans,202 cm,Italy : 53% (8/15) Argentina : 27% (4/15) England : 7% (1/15) Tonga : 7% (1/15) Wales : 7% (1/15),Italy : 57% (13/23) Argentina : 26% (6/23) England : 4% (1/23) Tonga : 4% (1/23) Wales : 4% (1/23) New Zealand : 4% (1/23),Zebre,914 kg (114.25 kg),27 ans,26 ans,199 cm,Ireland : 80% (12/15) England : 13% (2/15) Zimbabwe : 7% (1/15),Ireland : 83% (19/23) England : 13% (3/23) Zimbabwe : 4% (1/23),Ulster,Stadio Sergio Lanfranchi,"Saturday, October 21, 2023",14:00,6,3,0,0,6,5,0,0,4_13_41_70_22_41,5_14_23,,,52_66_9_29_60_16,11_17_30_53_68,,,36 - 40
885 kg (110.63 kg),27 ans,26 ans,196 cm,Ireland : 73% (11/15) New Zealand : 13% (2/15) England : 7% (1/15) Australia : 7% (1/15),Ireland : 74% (17/23) New Zealand : 13% (3/23) Australia : 9% (2/23) England : 4% (1/23),Connacht,883 kg (110.38 kg),27 ans,25 ans,197 cm,Wales : 87% (13/15) South Africa : 7% (1/15) England : 7% (1/15),Wales : 83% (19/23) England : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,The Sportsground,"Saturday, October 21, 2023",16:00,4,4,2,0,4,3,0,0,11_23_33_56,11_24_33_58,2_5,,75_53_49_39,49_53_76,,,34 - 26
891 kg (111.38 kg),27 ans,26 ans,199 cm,South Africa : 87% (13/15) Zimbabwe : 7% (1/15) Congo : 7% (1/15),South Africa : 91% (21/23) Zimbabwe : 4% (1/23) Congo : 4% (1/23),Lions,907 kg (113.38 kg),26 ans,28 ans,200 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,Emirates Airline Park,"Saturday, October 21, 2023",16:05,5,4,0,0,4,3,3,0,5_78_61_71_45,72_79_5_45,,,33_37_8_41,9_34_38,19_17_54,,33 - 35
917 kg (114.63 kg),27 ans,27 ans,198 cm,Wales : 67% (10/15) England : 13% (2/15) Argentina : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Wales : 74% (17/23) England : 13% (3/23) Argentina : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Dragons,923 kg (115.38 kg),28 ans,26 ans,201 cm,Scotland : 53% (8/15) England : 20% (3/15) South Africa : 13% (2/15) Wales : 7% (1/15) Ireland : 7% (1/15),Scotland : 57% (13/23) England : 17% (4/23) South Africa : 9% (2/23) Ireland : 9% (2/23) Wales : 4% (1/23) New Zealand : 4% (1/23),Edinburgh,Rodney Parade,"Saturday, October 21, 2023",16:05,2,2,1,0,1,1,5,0,1_16,2_18,45,,64,65,29_42_55_72_80,,17 - 22
888 kg (111.00 kg),26 ans,25 ans,198 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) France : 4% (1/23),Munster,887 kg (110.88 kg),27 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 96% (22/23) Congo : 4% (1/23),Sharks,Thomond Park,"Saturday, October 21, 2023",18:15,5,3,1,0,3,3,0,0,26_20_77_40_66,21_27_42,44,,37_47_81,38_48_81,,,34 - 21
913 kg (114.13 kg),26 ans,26 ans,203 cm,Wales : 80% (12/15) South Africa : 7% (1/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 83% (19/23) South Africa : 4% (1/23) Tonga : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23),Cardiff,914 kg (114.25 kg),25 ans,27 ans,202 cm,Italy : 47% (7/15) South Africa : 13% (2/15) England : 13% (2/15) Argentina : 13% (2/15) Zimbabwe : 7% (1/15) Samoa : 7% (1/15),Italy : 48% (11/23) Argentina : 17% (4/23) South Africa : 13% (3/23) England : 9% (2/23) Zimbabwe : 4% (1/23) Samoa : 4% (1/23) New Zealand : 4% (1/23),Benetton,Cardiff Arms Park,"Saturday, October 21, 2023",18:15,3,2,1,0,2,2,3,0,26_17_31,19_27,60,,36_65,37_66,10_46_79,,22 - 23
944 kg (118.00 kg),26 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,900 kg (112.50 kg),25 ans,25 ans,198 cm,Wales : 73% (11/15) New Zealand : 20% (3/15) Scotland : 7% (1/15),Wales : 78% (18/23) New Zealand : 13% (3/23) Scotland : 4% (1/23) England : 4% (1/23),Scarlets,Loftus Versfeld,"Sunday, October 22, 2023",15:00,9,9,0,0,3,3,0,0,24_2_5_14_65_44_62_51_57,3_6_15_25_45_51_58_63_66,,,38_68_30,31_40_68,,,63 - 21
923 kg (115.38 kg),27 ans,27 ans,204 cm,Scotland : 53% (8/15) South Africa : 20% (3/15) New Zealand : 13% (2/15) Australia : 7% (1/15) Argentina : 7% (1/15),Scotland : 52% (12/23) South Africa : 17% (4/23) New Zealand : 13% (3/23) Argentina : 9% (2/23) Australia : 4% (1/23) England : 4% (1/23),Glasgow,910 kg (113.75 kg),24 ans,25 ans,203 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 91% (21/23) South Africa : 4% (1/23) New Zealand : 4% (1/23),Leinster,Scotstoun Stadium,"Sunday, October 22, 2023",17:00,7,3,0,1,3,2,2,0,37_32_20_12_74_52_78,13_33_75,,78,28_71_44,29_45,15_18,,43 - 25
899 kg (112.38 kg),27 ans,25 ans,199 cm,Wales : 73% (11/15) England : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15),Wales : 83% (19/23) England : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Ospreys,907 kg (113.38 kg),27 ans,24 ans,202 cm,Italy : 60% (9/15) Argentina : 27% (4/15) England : 7% (1/15) South Africa : 7% (1/15),Italy : 61% (14/23) Argentina : 22% (5/23) South Africa : 9% (2/23) England : 4% (1/23) New Zealand : 4% (1/23),Zebre,Swansea.com Stadium,"Saturday, October 28, 2023",14:00,4,4,2,0,5,3,0,0,15_21_42_49,16_22_43_50,35_77,,8_3_24_61_80,4_25_62,,,34 - 31
903 kg (112.88 kg),28 ans,28 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,908 kg (113.50 kg),25 ans,25 ans,200 cm,Wales : 80% (12/15) New Zealand : 13% (2/15) Scotland : 7% (1/15),Wales : 78% (18/23) New Zealand : 9% (2/23) England : 9% (2/23) Scotland : 4% (1/23),Scarlets,Danie Craven Stadium,"Saturday, October 28, 2023",16:00,8,6,0,0,1,1,0,0,6_12_26_42_28_58_35_71,7_29_36_43_59_72,,,15,16,,,52 - 7
