Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
899 kg (112.38 kg),28 ans,27 ans,200 cm,England : 73% (11/15) Wales : 7% (1/15) Scotland : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15),England : 70% (16/23) Ireland : 9% (2/23) Wales : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Fiji : 4% (1/23),Bristol,951 kg (118.88 kg),28 ans,26 ans,201 cm,England : 60% (9/15) South Africa : 13% (2/15) Scotland : 7% (1/15) Wales : 7% (1/15) Australia : 7% (1/15) Ireland : 7% (1/15),England : 57% (13/23) South Africa : 13% (3/23) Australia : 9% (2/23) Scotland : 4% (1/23) Wales : 4% (1/23) Ireland : 4% (1/23) Zimbabwe : 4% (1/23) Fiji : 4% (1/23),Leicester," Date :  Friday, October 13, 2023 Kick Off : 20:45 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,20_1_22,2,71_50,2,38_42,0,,2,22_24,2,51_72,25 - 14
938 kg (117.25 kg),26 ans,24 ans,197 cm,England : 60% (9/15) New Zealand : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15) Wales : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) South Africa : 13% (3/23) Australia : 4% (1/23) Fiji : 4% (1/23) Wales : 4% (1/23) Ireland : 4% (1/23),Exeter,919 kg (114.88 kg),25 ans,27 ans,201 cm,England : 73% (11/15) Italy : 7% (1/15) Scotland : 7% (1/15) Samoa : 7% (1/15) Wales : 7% (1/15),England : 74% (17/23) New Zealand : 9% (2/23) Italy : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Wales : 4% (1/23),Saracens," Date :  Saturday, October 14, 2023 Kick Off : 14:30 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",11,59_12_8_16_22_1_29_35_55_71_74,1,45,0,,0,,5,75_9_23_30_56,0,,65 - 10
933 kg (116.63 kg),28 ans,27 ans,198 cm,England : 67% (10/15) South Africa : 20% (3/15) Scotland : 7% (1/15) Fiji : 7% (1/15),England : 52% (12/23) South Africa : 26% (6/23) Scotland : 9% (2/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Australia : 4% (1/23),Bath,933 kg (116.63 kg),27 ans,27 ans,203 cm,England : 67% (10/15) South Africa : 13% (2/15) Scotland : 7% (1/15) Ireland : 7% (1/15) Argentina : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Ireland : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23),Newcastle," Date :  Saturday, October 14, 2023 Kick Off : 15:00 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",6,11_21_39_46_71_30,3,79_50_26,0,,3,1_8_16,2,31_40,1,27,34 - 26
923 kg (115.38 kg),28 ans,24 ans,201 cm,England : 87% (13/15) Ireland : 7% (1/15) Wales : 7% (1/15),England : 87% (20/23) Wales : 9% (2/23) Ireland : 4% (1/23),Gloucester,903 kg (112.88 kg),26 ans,26 ans,198 cm,England : 87% (13/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 74% (17/23) South Africa : 9% (2/23) Australia : 4% (1/23) Argentina : 4% (1/23) Zimbabwe : 4% (1/23) Wales : 4% (1/23),Harlequins," Date :  Saturday, October 14, 2023 Kick Off : 15:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,23_19_58_82,3,25_1_31,1,27,3,62_65_72,3,20_23_59,2,2_32,29 - 28
905 kg (113.13 kg),29 ans,26 ans,201 cm,England : 67% (10/15) South Africa : 33% (5/15),England : 70% (16/23) South Africa : 26% (6/23) Scotland : 4% (1/23),Sale,928 kg (116.00 kg),27 ans,25 ans,207 cm,England : 87% (13/15) Australia : 13% (2/15),England : 87% (20/23) Australia : 9% (2/23) Scotland : 4% (1/23),Northampton," Date :  Sunday, October 15, 2023 Kick Off : 14:30 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,10_4_36,2,67_2,1,34,1,25,1,5,1,2,20 - 15
933 kg (116.63 kg),27 ans,27 ans,203 cm,England : 73% (11/15) South Africa : 13% (2/15) Scotland : 7% (1/15) Ireland : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Scotland : 9% (2/23) Ireland : 4% (1/23) Wales : 4% (1/23) Argentina : 4% (1/23),Newcastle,915 kg (114.38 kg),28 ans,24 ans,201 cm,England : 87% (13/15) Ireland : 7% (1/15) Wales : 7% (1/15),England : 83% (19/23) Wales : 9% (2/23) Ireland : 4% (1/23) Georgia : 4% (1/23),Gloucester," Date :  Friday, October 20, 2023 Kick Off : 19:00 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,72,2,17_21,0,,2,8_54,1,73,1,18,14 - 18
929 kg (116.13 kg),26 ans,27 ans,201 cm,England : 53% (8/15) New Zealand : 20% (3/15) Italy : 7% (1/15) Scotland : 7% (1/15) Samoa : 7% (1/15) Wales : 7% (1/15),England : 70% (16/23) New Zealand : 13% (3/23) Italy : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Wales : 4% (1/23),Saracens,923 kg (115.38 kg),29 ans,27 ans,198 cm,England : 47% (7/15) South Africa : 27% (4/15) Scotland : 13% (2/15) Ireland : 7% (1/15) Fiji : 7% (1/15),England : 48% (11/23) South Africa : 30% (7/23) Scotland : 9% (2/23) Ireland : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23),Bath," Date :  Saturday, October 21, 2023 Kick Off : 16:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,1,4,7_21_3_55,3,18_36_51,1,33,1,2,1,8,16 - 25
928 kg (116.00 kg),27 ans,24 ans,207 cm,England : 87% (13/15) Australia : 13% (2/15),England : 87% (20/23) Australia : 9% (2/23) Scotland : 4% (1/23),Northampton,892 kg (111.50 kg),28 ans,27 ans,200 cm,England : 67% (10/15) Wales : 13% (2/15) Scotland : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) Wales : 9% (2/23) Scotland : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Ireland : 4% (1/23),Bristol," Date :  Saturday, October 21, 2023 Kick Off : 16:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,22_40_2_13,4,59_50_11_41,1,73,3,16_37_53,2,3_14,2,42_51,27 - 33
951 kg (118.88 kg),28 ans,27 ans,201 cm,England : 53% (8/15) South Africa : 20% (3/15) Scotland : 7% (1/15) Zimbabwe : 7% (1/15) Wales : 7% (1/15) Ireland : 7% (1/15),England : 52% (12/23) South Africa : 13% (3/23) Australia : 13% (3/23) Scotland : 4% (1/23) Zimbabwe : 4% (1/23) Wales : 4% (1/23) Ireland : 4% (1/23) Fiji : 4% (1/23),Leicester,907 kg (113.38 kg),29 ans,26 ans,201 cm,England : 60% (9/15) South Africa : 33% (5/15) Scotland : 7% (1/15),England : 74% (17/23) South Africa : 22% (5/23) Scotland : 4% (1/23),Sale," Date :  Saturday, October 21, 2023 Kick Off : 16:05 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,34_59_7,3,31_69_9,0,,1,45,1,35,3,10_32_70,17 - 24
903 kg (112.88 kg),26 ans,25 ans,198 cm,England : 80% (12/15) Wales : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 78% (18/23) South Africa : 13% (3/23) Wales : 4% (1/23) Australia : 4% (1/23),Harlequins,938 kg (117.25 kg),26 ans,24 ans,197 cm,England : 67% (10/15) New Zealand : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) South Africa : 13% (3/23) Australia : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Wales : 4% (1/23),Exeter," Date :  Sunday, October 22, 2023 Kick Off : 16:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,8_17_34,2,4_70,1,81,0,,2,10_17,2,5_71,22 - 14
