Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
914 kg (114.25 kg),27 ans,25 ans,207 cm,England : 80% (12/15) South Africa : 13% (2/15) Scotland : 7% (1/15),England : 78% (18/23) South Africa : 13% (3/23) Scotland : 4% (1/23) Fiji : 4% (1/23),Sale,924 kg (115.50 kg),25 ans,28 ans,201 cm,England : 73% (11/15) Wales : 13% (2/15) Georgia : 7% (1/15) New Zealand : 7% (1/15),England : 61% (14/23) Wales : 9% (2/23) Argentina : 9% (2/23) Georgia : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23),Gloucester," Date :  Friday, October 4, 2024 Kick Off : 20:45 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,62_71_36_17_47,4.0,6_57_79_74,0.0,,1.0,40,3.0,18_37_72,2.0,58_80,31 - 27
923 kg (115.38 kg),26 ans,25 ans,207 cm,England : 93% (14/15) Australia : 7% (1/15),England : 83% (19/23) Australia : 9% (2/23) Scotland : 4% (1/23) Fiji : 4% (1/23),Northampton,915 kg (114.38 kg),27 ans,26 ans,201 cm,England : 73% (11/15) South Africa : 13% (2/15) United-States : 7% (1/15) Wales : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Wales : 13% (3/23) United-States : 4% (1/23) Scotland : 4% (1/23),Harlequins," Date :  Friday, October 4, 2024 Kick Off : 20:45 Venue : cinch Stadium at Franklin's Gardens Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,4_55_22_61,4.0,1_19_26_71,0.0,,1.0,30,3.0,5_23_55,3.0,2_20_72,33 - 29
936 kg (117.00 kg),28 ans,28 ans,198 cm,England : 73% (11/15) South Africa : 13% (2/15) Ireland : 7% (1/15) Scotland : 7% (1/15),England : 61% (14/23) South Africa : 22% (5/23) Ireland : 9% (2/23) Scotland : 9% (2/23),Bath,905 kg (113.13 kg),28 ans,26 ans,200 cm,England : 73% (11/15) Samoa : 7% (1/15) Argentina : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15),England : 74% (17/23) Argentina : 9% (2/23) Ireland : 9% (2/23) Samoa : 4% (1/23) South Africa : 4% (1/23),Bristol," Date :  Saturday, October 5, 2024 Kick Off : 16:05 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,55_75_11_58,5.0,62_18_36_26_1,0.0,,1.0,42,3.0,12_56_59,4.0,2_19_37_63,26 - 36
921 kg (115.13 kg),29 ans,24 ans,203 cm,England : 67% (10/15) South Africa : 13% (2/15) Scotland : 7% (1/15) New Zealand : 7% (1/15) Ireland : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Scotland : 9% (2/23) New Zealand : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),Newcastle,923 kg (115.38 kg),26 ans,28 ans,200 cm,England : 73% (11/15) Wales : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15),England : 70% (16/23) Wales : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23) Ireland : 4% (1/23) France : 4% (1/23) Fiji : 4% (1/23),Leicester," Date :  Saturday, October 5, 2024 Kick Off : 18:30 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1.0,50,6.0,56_40_73_17_23_42,1.0,7,1.0,3,1.0,51,2.0,18_57,10 - 42
947 kg (118.38 kg),27 ans,27 ans,201 cm,England : 67% (10/15) Wales : 7% (1/15) Italy : 7% (1/15) Samoa : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 65% (15/23) Wales : 4% (1/23) Italy : 4% (1/23) Samoa : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23),Saracens,930 kg (116.25 kg),26 ans,25 ans,203 cm,England : 67% (10/15) Wales : 13% (2/15) Ireland : 7% (1/15) Congo : 7% (1/15) New Zealand : 7% (1/15),England : 61% (14/23) Ireland : 9% (2/23) New Zealand : 9% (2/23) Wales : 9% (2/23) Congo : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23),Exeter," Date :  Sunday, October 6, 2024 Kick Off : 16:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",5.0,17_31_41_37_22,2.0,34_61,0.0,,0.0,,2.0,23_32,2.0,35_62,29 - 14
,,,,,,Sale,,,,,,,Newcastle," Date :  Friday, October 11, 2024 Kick Off : 20:45 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,8:45 PM
,,,,,,Exeter,,,,,,,Bristol," Date :  Saturday, October 12, 2024 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
,,,,,,Gloucester,,,,,,,Bath," Date :  Saturday, October 12, 2024 Kick Off : 16:05 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:05 PM
,,,,,,Leicester,,,,,,,Northampton," Date :  Saturday, October 12, 2024 Kick Off : 18:30 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,6:30 PM
,,,,,,Harlequins,,,,,,,Saracens," Date :  Sunday, October 13, 2024 Kick Off : 16:00 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",,,,,,,,,,,,,4:00 PM
