Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
899 kg (112.38 kg),30 ans,27 ans,201 cm,England : 47% (7/15) New Zealand : 20% (3/15) Wales : 13% (2/15) Ireland : 7% (1/15) Samoa : 7% (1/15) Fiji : 7% (1/15),England : 57% (13/23) New Zealand : 13% (3/23) Wales : 13% (3/23) Ireland : 9% (2/23) Samoa : 4% (1/23) Fiji : 4% (1/23),Bristol,931 kg (116.38 kg),27 ans,26 ans,200 cm,England : 67% (10/15) South Africa : 13% (2/15) Argentina : 7% (1/15) Wales : 7% (1/15) Ireland : 7% (1/15),England : 70% (16/23) South Africa : 13% (3/23) Argentina : 4% (1/23) Wales : 4% (1/23) Ireland : 4% (1/23) Zimbabwe : 4% (1/23),Leicester," Date :  Saturday, December 3, 2022 Kick Off : 21:00 Venue : Ashton Gate Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,63_74_4_23,3,39_29_35,0,,3,16_20_61,3,24_64_76,1,40,26 - 26
960 kg (120.00 kg),29 ans,27 ans,204 cm,England : 67% (10/15) Argentina : 13% (2/15) Australia : 7% (1/15) South Africa : 7% (1/15) Scotland : 7% (1/15),England : 57% (13/23) South Africa : 13% (3/23) Argentina : 9% (2/23) Ireland : 9% (2/23) Australia : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23),Newcastle,912 kg (114.00 kg),27 ans,27 ans,201 cm,England : 53% (8/15) South Africa : 33% (5/15) Canada : 7% (1/15) Scotland : 7% (1/15),England : 57% (13/23) South Africa : 26% (6/23) Scotland : 9% (2/23) Canada : 4% (1/23) Wales : 4% (1/23),Sale," Date :  Friday, December 23, 2022 Kick Off : 20:45 Venue : Kingston Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,54_61,2,10_24,2,42_68,0,,2,55_62,2,12_26,20 - 14
957 kg (119.63 kg),28 ans,24 ans,207 cm,England : 40% (6/15) South Africa : 13% (2/15) Australia : 13% (2/15) Argentina : 13% (2/15) Fiji : 7% (1/15) Samoa : 7% (1/15) Ireland : 7% (1/15),England : 43% (10/23) Australia : 13% (3/23) Argentina : 13% (3/23) South Africa : 9% (2/23) Ireland : 9% (2/23) Fiji : 4% (1/23) Samoa : 4% (1/23) Italy : 4% (1/23),London Irish,931 kg (116.38 kg),26 ans,29 ans,201 cm,England : 67% (10/15) New Zealand : 13% (2/15) Italy : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Tonga : 4% (1/23) Scotland : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23),Saracens," Date :  Friday, December 23, 2022 Kick Off : 20:45 Venue : Gtech Community Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,1_77,2,44_40,5,19_27_30_44_57,2,14_73,2,3_79,2,42_46,29 - 20
937 kg (117.13 kg),27 ans,26 ans,200 cm,England : 73% (11/15) Wales : 13% (2/15) South Africa : 7% (1/15) Ireland : 7% (1/15),England : 74% (17/23) Wales : 9% (2/23) South Africa : 4% (1/23) Ireland : 4% (1/23) Samoa : 4% (1/23) New Zealand : 4% (1/23),Leicester,917 kg (114.63 kg),30 ans,26 ans,198 cm,England : 33% (5/15) Argentina : 20% (3/15) Wales : 13% (2/15) Georgia : 7% (1/15) Russia : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Scotland : 7% (1/15),England : 43% (10/23) Argentina : 13% (3/23) Georgia : 9% (2/23) Wales : 9% (2/23) Scotland : 9% (2/23) Russia : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23),Gloucester," Date :  Saturday, December 24, 2022 Kick Off : 16:00 Venue : Mattioli Woods Welford Road Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,43_57_65,2,41_78,3,12_19_53,1,7,2,44_58,0,,28 - 13
952 kg (119.00 kg),28 ans,26 ans,201 cm,England : 60% (9/15) Australia : 7% (1/15) Wales : 7% (1/15) Scotland : 7% (1/15) Zimbabwe : 7% (1/15) Congo : 7% (1/15) Tonga : 7% (1/15),England : 48% (11/23) Scotland : 9% (2/23) New Zealand : 9% (2/23) Australia : 4% (1/23) Wales : 4% (1/23) Zimbabwe : 4% (1/23) Congo : 4% (1/23) Tonga : 4% (1/23) Namibia : 4% (1/23) Ireland : 4% (1/23) Argentina : 4% (1/23),Exeter,913 kg (114.13 kg),27 ans,27 ans,201 cm,England : 67% (10/15) Scotland : 13% (2/15) Australia : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 65% (15/23) Scotland : 9% (2/23) Australia : 9% (2/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Russia : 4% (1/23),Bath," Date :  Saturday, December 24, 2022 Kick Off : 16:00 Venue : Sandy Park Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,15_31,2,11_61,2,1_41,1,22,2,16_31,1,12,20 - 15
909 kg (113.63 kg),27 ans,27 ans,200 cm,England : 73% (11/15) South Africa : 20% (3/15) Italy : 7% (1/15),England : 74% (17/23) South Africa : 17% (4/23) Italy : 4% (1/23) New Zealand : 4% (1/23),Harlequins,914 kg (114.25 kg),30 ans,28 ans,201 cm,England : 53% (8/15) New Zealand : 13% (2/15) Samoa : 7% (1/15) Scotland : 7% (1/15) Ireland : 7% (1/15) Fiji : 7% (1/15) Australia : 7% (1/15),England : 57% (13/23) New Zealand : 9% (2/23) Scotland : 9% (2/23) Wales : 9% (2/23) Samoa : 4% (1/23) Ireland : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23),Bristol," Date :  Tuesday, December 27, 2022 Kick Off : 17:15 Venue : Twickenham Stoop Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",2,19_57,2,15_38,0,,1,2,1,59,1,16,12 - 15
909 kg (113.63 kg),28 ans,27 ans,201 cm,England : 53% (8/15) South Africa : 33% (5/15) Scotland : 7% (1/15) Samoa : 7% (1/15),England : 57% (13/23) South Africa : 26% (6/23) Scotland : 9% (2/23) Samoa : 4% (1/23) Canada : 4% (1/23),Sale,937 kg (117.13 kg),27 ans,27 ans,200 cm,England : 67% (10/15) South Africa : 13% (2/15) Wales : 13% (2/15) Ireland : 7% (1/15),England : 70% (16/23) South Africa : 9% (2/23) Wales : 9% (2/23) Ireland : 4% (1/23) Samoa : 4% (1/23) New Zealand : 4% (1/23),Leicester," Date :  Friday, December 30, 2022 Kick Off : 20:45 Venue : Salford City Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,52_79_34_76,1,46,3,17_24_31,0,,2,35_53,0,,40 - 5
923 kg (115.38 kg),28 ans,27 ans,201 cm,England : 73% (11/15) Ireland : 7% (1/15) Scotland : 7% (1/15) Australia : 7% (1/15) Fiji : 7% (1/15),England : 65% (15/23) South Africa : 13% (3/23) Ireland : 4% (1/23) Scotland : 4% (1/23) Australia : 4% (1/23) Fiji : 4% (1/23) Russia : 4% (1/23),Bath,960 kg (120.00 kg),29 ans,27 ans,204 cm,England : 67% (10/15) Argentina : 13% (2/15) Australia : 7% (1/15) South Africa : 7% (1/15) Scotland : 7% (1/15),England : 61% (14/23) Argentina : 13% (3/23) South Africa : 9% (2/23) Australia : 4% (1/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Ireland : 4% (1/23),Newcastle," Date :  Saturday, December 31, 2022 Kick Off : 16:00 Venue : Recreation Ground Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",3,47_55_12,1,26,1,78,3,17_44_59,3,13_48_56,1,27,24 - 16
942 kg (117.75 kg),28 ans,28 ans,201 cm,England : 67% (10/15) New Zealand : 13% (2/15) Italy : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Italy : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Tonga : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23),Saracens,933 kg (116.63 kg),26 ans,26 ans,200 cm,England : 60% (9/15) Australia : 7% (1/15) South Africa : 7% (1/15) Scotland : 7% (1/15) Argentina : 7% (1/15) Congo : 7% (1/15) Tonga : 7% (1/15),England : 52% (12/23) New Zealand : 9% (2/23) Ireland : 9% (2/23) Australia : 4% (1/23) South Africa : 4% (1/23) Scotland : 4% (1/23) Argentina : 4% (1/23) Congo : 4% (1/23) Tonga : 4% (1/23) Namibia : 4% (1/23),Exeter," Date :  Saturday, December 31, 2022 Kick Off : 16:00 Venue : StoneX Stadium Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",4,39_9_22_80,0,,2,44_48,1,21,2,10_41,0,,35 - 3
902 kg (112.75 kg),28 ans,26 ans,198 cm,England : 53% (8/15) Argentina : 20% (3/15) Russia : 7% (1/15) Scotland : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15),England : 57% (13/23) Argentina : 13% (3/23) Russia : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Ireland : 4% (1/23) Fiji : 4% (1/23) Wales : 4% (1/23),Gloucester,931 kg (116.38 kg),27 ans,26 ans,201 cm,England : 53% (8/15) South Africa : 13% (2/15) Argentina : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) Ireland : 7% (1/15),England : 48% (11/23) Argentina : 13% (3/23) South Africa : 9% (2/23) Australia : 9% (2/23) Italy : 9% (2/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Zimbabwe : 4% (1/23),London Irish," Date :  Saturday, December 31, 2022 Kick Off : 16:00 Venue : Kingsholm Tournament : Premiership Round : pool stage  All times shown are french time,refresh to see your local time. ",1,10,0,,1,82,2,27_72,0,,0,,8 - 6
